,Player,Nationality,Position,Club,Age,Born,90s,No. of players tackled,Tackles won,No. of dribblers tackled,Dribbles challenged (total),% of dribblers successfully tackled,challenges lost,Blocks,Shots blocked,Passes blocked,Interceptions,Clearances,Errors
0,Liel Abada, ISR,"FW,MF",Celtic,20,2001,2.4,1,1,0,2,0.0,2,0,0,0,2,1,0
1,Oliver Abildgaard, DEN,MF,Celtic,26,1996,0.7,4,3,2,4,50.0,2,1,0,1,0,1,0
2,Mohammad Abu Fani, ISR,MF,Maccabi Haifa,24,1998,4.4,9,6,3,8,37.5,5,7,2,5,3,0,0
3,Francesco Acerbi, ITA,DF,Inter,34,1988,10.2,10,8,4,7,57.1,3,8,2,6,11,46,0
4,Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,2.4,9,5,8,9,88.9,1,0,0,0,2,3,0
5,Junior Adamu, AUT,FW,RB Salzburg,21,2001,2.3,9,8,1,3,33.3,2,5,1,4,1,0,0
6,Antonio Adán, ESP,GK,Sporting CP,35,1987,4.2,0,0,0,0,0.0,0,0,0,0,0,4,1
7,Arijan Ademi, MKD,MF,Dinamo Zagreb,31,1991,5.2,16,11,7,13,53.8,6,5,3,2,3,3,0
8,Karim Adeyemi, GER,"FW,MF",Dortmund,20,2002,4.2,1,1,1,3,33.3,2,3,0,3,2,1,0
9,Amine Adli, FRA,"FW,MF",Leverkusen,22,2000,1.3,3,1,0,1,0.0,1,6,0,6,0,0,0
10,Manuel Akanji, SUI,DF,Manchester City,27,1995,10.5,27,16,14,26,53.8,12,14,2,12,9,20,1
11,Nathan Aké, NED,DF,Manchester City,27,1995,6.8,12,6,3,5,60.0,2,2,1,1,7,13,0
12,David Alaba, AUT,DF,Real Madrid,30,1992,7.9,8,3,5,12,41.7,7,12,8,4,7,12,0
13,Lucas Alario, ARG,"FW,MF",Eint Frankfurt,29,1992,0.2,0,0,0,0,0.0,0,0,0,0,0,0,0
14,Jordi Alba, ESP,DF,Barcelona,33,1989,1.6,0,0,0,1,0.0,1,3,2,1,0,1,0
15,Thiago Alcántara, ESP,MF,Liverpool,31,1991,3.4,15,8,5,9,55.6,4,4,0,4,7,0,0
16,Trent Alexander-Arnold, ENG,DF,Liverpool,23,1998,6.9,19,13,16,30,53.3,14,7,2,5,4,3,0
17,Sotiris Alexandropoulos, GRE,MF,Sporting CP,20,2001,1.3,1,1,0,0,0.0,0,2,2,0,0,2,0
18,Faride Alidou, GER,"DF,FW",Eint Frankfurt,21,2001,0.8,4,4,2,3,66.7,1,5,0,5,1,0,0
19,Alisson, BRA,GK,Liverpool,29,1992,8.0,0,0,0,2,0.0,2,0,0,0,0,1,1
20,Marcos Alonso, ESP,DF,Barcelona,31,1990,4.5,5,2,3,6,50.0,3,7,4,3,6,18,0
21,Éder Álvarez Balanta, COL,"MF,FW",Club Brugge,29,1993,0.6,0,0,0,0,0.0,0,1,1,0,2,1,0
22,Edson Álvarez, MEX,MF,Ajax,24,1997,5.9,15,8,8,12,66.7,4,5,1,4,11,18,0
23,Julián Álvarez, ARG,FW,Manchester City,22,2000,5.3,5,3,0,5,0.0,5,1,0,1,2,1,0
24,Nadiem Amiri, GER,"MF,FW",Leverkusen,25,1996,1.4,3,2,2,4,50.0,2,0,0,0,2,1,0
25,Robert Andrich, GER,MF,Leverkusen,27,1994,4.5,10,7,5,6,83.3,1,13,7,6,5,10,0
26,Peter Ankersen, DEN,DF,FC Copenhagen,31,1990,0.3,0,0,0,0,0.0,0,0,0,0,0,0,0
27,Ofri Arad, ISR,"DF,MF",Maccabi Haifa,23,1998,0.2,2,2,1,1,100.0,0,1,0,1,1,0,0
28,Charles Aránguiz, CHI,MF,Leverkusen,33,1989,2.4,4,2,1,2,50.0,1,3,2,1,2,3,0
29,Henrique Araújo, POR,FW,Benfica,20,2002,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
30,Ronald Araújo, URU,DF,Barcelona,23,1999,1.0,1,0,0,0,0.0,0,2,1,1,0,0,0
31,Scott Arfield, CAN,MF,Rangers,33,1988,3.0,4,1,1,6,16.7,5,4,1,3,1,1,0
32,Hákon Arnar Haraldsson, ISL,FW,FC Copenhagen,19,2003,3.3,5,3,1,2,50.0,1,1,0,1,0,1,0
33,Kepa Arrizabalaga, ESP,GK,Chelsea,27,1994,9.0,0,0,0,1,0.0,1,0,0,0,1,2,0
34,Arthur, BRA,"MF,FW",Sporting CP,24,1998,1.2,2,2,0,0,0.0,0,2,0,2,0,2,0
35,Marco Asensio, ESP,"FW,MF",Real Madrid,26,1996,3.6,1,0,1,2,50.0,1,4,0,4,5,3,0
36,Kristjan Asllani, ALB,MF,Inter,20,2002,1.4,4,1,2,2,100.0,0,0,0,0,2,5,0
37,Omer Atzili, ISR,"FW,MF",Maccabi Haifa,29,1993,3.4,7,3,2,9,22.2,7,2,0,2,3,1,0
38,Pierre-Emerick Aubameyang, GAB,FW,Chelsea,33,1989,4.5,0,0,0,1,0.0,1,4,0,4,0,3,0
39,Lynnt Audoor, BEL,MF,Club Brugge,18,2003,0.1,1,0,0,0,0.0,0,0,0,0,0,0,0
40,Fredrik Aursnes, NOR,"FW,MF",Benfica,26,1995,6.9,13,9,5,9,55.6,4,10,4,6,5,9,1
41,Sardar Azmoun, IRN,FW,Leverkusen,27,1995,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
42,César Azpilicueta, ESP,DF,Chelsea,32,1989,2.9,7,5,5,5,100.0,0,5,0,5,3,6,1
43,Youri Baas, NED,DF,Ajax,19,2003,0.5,2,0,0,1,0.0,1,0,0,0,0,1,0
44,Alexander Bah, DEN,DF,Benfica,24,1997,7.3,14,9,6,12,50.0,6,13,3,10,17,11,0
45,Eric Bailly, CIV,DF,Marseille,28,1994,3.4,6,5,4,5,80.0,1,4,4,0,15,8,0
46,Stefan Bajcetic, ESP,MF,Liverpool,17,2004,1.2,6,4,5,6,83.3,1,0,0,0,1,0,0
47,Mitchel Bakker, NED,"MF,DF",Leverkusen,22,2000,3.8,9,5,7,8,87.5,1,6,0,6,4,5,0
48,Alejandro Balde, ESP,DF,Barcelona,18,2003,1.9,0,0,0,1,0.0,1,2,0,2,0,1,0
49,Leonardo Balerdi, ARG,DF,Marseille,23,1999,5.5,11,6,3,11,27.3,8,5,4,1,13,12,1
50,Fodé Ballo-Touré, SEN,"DF,MF",Milan,25,1997,1.5,2,2,1,2,50.0,1,4,2,2,5,1,0
51,Tommaso Barbieri, ITA,MF,Juventus,19,2002,0.0,2,1,1,1,100.0,0,0,0,0,0,0,0
52,Roony Bardghji, SWE,FW,FC Copenhagen,16,2005,1.1,0,0,0,0,0.0,0,0,0,0,0,1,0
53,Nicolò Barella, ITA,MF,Inter,25,1997,11.0,23,14,9,24,37.5,15,14,1,13,2,11,0
54,Borna Barišić, CRO,DF,Rangers,29,1992,5.2,9,3,4,8,50.0,4,11,7,4,3,5,0
55,Enzo Barrenechea, ARG,DF,Juventus,21,2001,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0
56,Pablo Barrios, ESP,MF,Atlético Madrid,19,2003,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
57,Calvin Bassey, NGA,DF,Ajax,22,1999,6.0,14,9,7,11,63.6,4,9,4,5,7,23,0
58,Fortune Bassey, NGA,FW,Viktoria Plzeň,23,1998,1.5,0,0,0,2,0.0,2,0,0,0,0,0,0
59,Alessandro Bastoni, ITA,DF,Inter,23,1999,10.9,20,8,10,16,62.5,6,14,5,9,9,32,0
60,Dylan Batubinsika, COD,DF,Maccabi Haifa,26,1996,5.0,8,1,3,5,60.0,2,3,1,2,10,14,0
61,Martin Baturina, CRO,MF,Dinamo Zagreb,19,2003,0.7,3,1,2,2,100.0,0,1,0,1,0,0,0
62,Raoul Bellanova, ITA,"DF,MF",Inter,22,2000,1.3,2,1,1,3,33.3,2,2,0,2,1,2,0
63,Héctor Bellerín, ESP,DF,Barcelona,27,1995,2.0,4,3,2,3,66.7,1,3,2,1,1,1,0
64,Jude Bellingham, ENG,MF,Dortmund,19,2003,7.0,15,8,8,16,50.0,8,15,4,11,13,8,0
65,Ismaël Bennacer, ALG,MF,Milan,24,1997,6.5,26,13,5,10,50.0,5,5,0,5,7,2,0
66,Rodrigo Bentancur, URU,"MF,FW",Tottenham,25,1997,5.6,12,7,6,8,75.0,2,5,2,3,5,4,0
67,Karim Benzema, FRA,FW,Real Madrid,34,1987,8.3,2,2,0,1,0.0,1,5,0,5,0,8,0
68,Steven Berghuis, NED,"MF,FW",Ajax,30,1991,5.1,13,9,7,10,70.0,3,5,0,5,4,0,0
69,Steven Bergwijn, NED,FW,Ajax,24,1997,5.8,3,1,1,1,100.0,0,2,0,2,1,1,0
70,Alexandro Bernabei, ARG,FW,Celtic,21,2000,0.1,0,0,0,0,0.0,0,1,0,1,0,1,0
71,Bernardo, BRA,DF,RB Salzburg,27,1995,3.0,10,6,4,7,57.1,3,6,3,3,5,16,1
72,Juan Bernat, ESP,DF,Paris S-G,29,1993,3.1,11,7,7,10,70.0,3,3,1,2,1,2,0
73,Victor Bernth Kristiansen, DEN,"DF,MF",FC Copenhagen,19,2002,5.4,15,6,5,7,71.4,2,11,1,10,6,14,0
74,Modou Biramé Ndiaye, SEN,MF,Viktoria Plzeň,25,1996,2.0,4,1,2,8,25.0,6,2,0,2,6,4,0
75,Yves Bissouma, MLI,MF,Tottenham,25,1996,1.0,2,1,1,2,50.0,1,4,1,3,2,2,0
76,Janis Blaswich, GER,GK,RB Leipzig,31,1991,5.9,0,0,0,0,0.0,0,0,0,0,0,2,0
77,Daley Blind, NED,DF,Ajax,32,1990,4.5,17,10,10,14,71.4,4,6,2,4,4,9,1
78,Petar Bočkaj, CRO,"DF,FW",Dinamo Zagreb,26,1996,0.4,1,0,0,0,0.0,0,0,0,0,0,0,0
79,Nicolai Boilesen, DEN,DF,FC Copenhagen,30,1992,1.1,0,0,0,1,0.0,1,2,1,1,2,3,0
80,Valerii Bondar, UKR,DF,Shakhtar,23,1999,6.0,7,5,2,3,66.7,1,11,9,2,7,30,1
81,Artem Bondarenko, UKR,MF,Shakhtar,21,2000,5.4,14,4,5,9,55.6,4,1,0,1,7,6,0
82,Leonardo Bonucci, ITA,DF,Juventus,35,1987,4.9,2,0,2,4,50.0,2,6,6,0,2,14,0
83,Gonçalo Borges, POR,"MF,FW",Porto,21,2001,0.4,1,0,0,0,0.0,0,0,0,0,0,0,0
84,Rafael Borré, COL,FW,Eint Frankfurt,26,1995,2.5,2,1,0,7,0.0,7,3,0,3,0,1,0
85,Yassine Bounou, MAR,GK,Sevilla,31,1991,4.0,0,0,0,1,0.0,1,0,0,0,0,3,2
86,Dedryck Boyata, BEL,DF,Club Brugge,31,1990,1.5,1,0,1,1,100.0,0,1,1,0,7,7,0
87,Julian Brandt, GER,"MF,FW",Dortmund,26,1996,5.3,7,3,2,10,20.0,8,5,1,4,2,4,0
88,Gleison Bremer, BRA,DF,Juventus,25,1997,3.0,6,3,2,5,40.0,3,6,2,4,5,13,0
89,Brian Brobbey, NED,FW,Ajax,20,2002,1.3,0,0,0,0,0.0,0,0,0,0,0,0,0
90,Armando Broja, ALB,FW,Chelsea,20,2001,1.3,2,1,0,1,0.0,1,1,1,0,0,0,0
91,Marcelo Brozović, CRO,MF,Inter,29,1992,6.1,18,11,7,18,38.9,11,9,5,4,9,5,1
92,Pavel Bucha, CZE,MF,Viktoria Plzeň,24,1998,4.0,6,3,5,9,55.6,4,3,0,3,2,2,0
93,Tajon Buchanan, CAN,"DF,MF",Club Brugge,23,1999,5.8,9,4,5,10,50.0,5,3,0,3,0,4,0
94,Marko Bulat, CRO,MF,Dinamo Zagreb,20,2001,0.3,2,1,1,1,100.0,0,0,0,0,0,2,0
95,Sergio Busquets, ESP,MF,Barcelona,34,1988,3.2,8,8,4,7,57.1,3,2,0,2,4,2,1
96,Aurélio Buta, POR,DF,Eint Frankfurt,25,1997,1.8,5,4,3,4,75.0,1,5,1,4,1,4,0
97,Jamie Bynoe-Gittens, ENG,MF,Dortmund,17,2004,0.4,0,0,0,1,0.0,1,1,0,1,0,1,0
98,Jovane Cabral, CPV,MF,Sporting CP,24,1998,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
99,Davide Calabria, ITA,DF,Milan,25,1996,5.5,17,10,10,20,50.0,10,9,3,6,15,12,0
100,Hakan Çalhanoğlu, TUR,MF,Inter,28,1994,8.9,16,11,8,20,40.0,12,5,3,2,8,7,0
101,Eduardo Camavinga, FRA,"MF,DF",Real Madrid,19,2002,8.0,26,17,11,32,34.4,21,12,0,12,6,11,0
102,Emre Can, GER,MF,Dortmund,28,1994,6.3,16,12,7,11,63.6,4,13,4,9,13,6,1
103,João Cancelo, POR,DF,Bayern Munich,28,1994,1.4,4,2,3,7,42.9,4,3,0,3,0,0,0
104,João Cancelo, POR,DF,Manchester City,28,1994,4.2,10,7,4,8,50.0,4,3,0,3,3,3,0
105,Nicolás Capaldo, ARG,MF,RB Salzburg,24,1997,3.0,8,4,5,8,62.5,3,9,0,9,4,9,0
106,Valentin Carboni, ARG,FW,Inter,17,2005,0.2,0,0,0,1,0.0,1,0,0,0,0,0,0
107,Fábio Cardoso, POR,DF,Porto,28,1994,4.0,7,3,4,6,66.7,2,3,1,2,3,15,0
108,David Carmo, POR,DF,Porto,23,1999,5.0,5,2,1,5,20.0,4,2,1,1,4,16,0
109,Carmona, ESP,DF,Sevilla,20,2002,5.0,6,4,3,7,42.9,4,7,4,3,3,10,1
110,Yannick Carrasco, BEL,"DF,MF",Atlético Madrid,28,1993,3.0,7,4,4,8,50.0,4,6,0,6,1,1,0
111,Cameron Carter-Vickers, USA,DF,Celtic,24,1997,4.0,3,2,2,4,50.0,2,2,1,1,4,15,0
112,Dani Carvajal, ESP,DF,Real Madrid,30,1992,9.7,18,11,10,19,52.6,9,15,4,11,7,20,0
113,Fabio Carvalho, POR,"MF,FW",Liverpool,19,2002,1.3,2,1,0,4,0.0,4,3,1,2,0,0,0
114,Marc Casado, ESP,MF,Barcelona,18,2003,0.3,0,0,0,0,0.0,0,2,1,1,0,1,0
115,Dani Ceballos, ESP,MF,Real Madrid,25,1996,1.0,4,1,1,1,100.0,0,6,0,6,0,0,0
116,Aleš Čermák, CZE,MF,Viktoria Plzeň,27,1994,0.4,2,1,0,0,0.0,0,1,0,1,2,0,0
117,El Chadaille Bitshiabu, FRA,DF,Paris S-G,17,2005,0.5,1,1,0,0,0.0,0,1,1,0,0,2,0
118,Trevoh Chalobah, ENG,DF,Chelsea,23,1999,4.9,8,6,5,10,50.0,5,4,4,0,5,17,0
119,Timothy Chandler, USA,DF,Eint Frankfurt,32,1990,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
120,Tjaronn Chery, SUR,"MF,FW",Maccabi Haifa,34,1988,6.0,2,1,0,3,0.0,3,5,0,5,1,2,0
121,Federico Chiesa, ITA,FW,Juventus,24,1997,0.2,0,0,0,0,0.0,0,2,0,2,0,0,0
122,Ben Chilwell, ENG,"DF,MF",Chelsea,25,1996,6.2,12,8,4,7,57.1,3,8,4,4,4,5,0
123,Chiquinho, POR,MF,Benfica,27,1995,4.5,11,6,3,7,42.9,4,5,2,3,7,4,0
124,Tomáš Chorý, CZE,FW,Viktoria Plzeň,27,1995,4.0,3,1,1,3,33.3,2,4,0,4,1,6,0
125,Andreas Christensen, DEN,DF,Barcelona,26,1996,2.4,4,1,1,1,100.0,0,2,2,0,3,4,0
126,Viktor Claesson, SWE,"FW,MF",FC Copenhagen,30,1992,5.4,9,8,4,6,66.7,2,4,2,2,9,8,0
127,Jonathan Clauss, FRA,DF,Marseille,29,1992,4.6,6,1,2,5,40.0,3,4,1,3,5,2,0
128,William Clem, DEN,MF,FC Copenhagen,18,2004,1.9,5,2,2,7,28.6,5,2,0,2,4,0,0
129,Sebastián Coates, URU,DF,Sporting CP,31,1990,4.4,8,3,5,6,83.3,1,4,2,2,6,18,1
130,Josh Cohen, USA,GK,Maccabi Haifa,29,1992,6.0,0,0,0,0,0.0,0,0,0,0,0,2,0
131,Antonio Čolak, CRO,FW,Rangers,28,1993,3.2,0,0,0,3,0.0,3,0,0,0,1,2,0
132,Kingsley Coman, FRA,"FW,DF",Bayern Munich,26,1996,5.9,11,8,5,13,38.5,8,10,0,10,2,1,0
133,Francisco Conceição, POR,"FW,MF",Ajax,19,2002,0.2,0,0,0,0,0.0,0,1,0,1,0,1,0
134,Rodrigo Conceição, POR,DF,Porto,22,2000,0.1,1,1,1,1,100.0,0,0,0,0,0,1,0
135,Andreas Cornelius, DEN,FW,FC Copenhagen,29,1993,1.2,1,1,0,0,0.0,0,3,0,3,0,1,0
136,Pierre Cornud, FRA,DF,Maccabi Haifa,25,1996,4.1,11,4,5,7,71.4,2,4,1,3,3,10,0
137,Ángel Correa, ARG,"FW,MF",Atlético Madrid,27,1995,3.5,2,0,2,3,66.7,1,9,2,7,0,0,1
138,Joaquín Correa, ARG,FW,Inter,27,1994,3.4,2,1,0,4,0.0,4,1,0,1,0,1,0
139,Bruno Xavier Almeida Costa, POR,MF,Porto,25,1997,0.8,2,2,1,1,100.0,0,0,0,0,1,0,0
140,Diogo Costa, POR,GK,Porto,22,1999,8.0,0,0,0,0,0.0,0,0,0,0,0,3,0
141,Soumaïla Coulibaly, FRA,DF,Dortmund,18,2003,0.2,0,0,0,0,0.0,0,0,0,0,1,1,0
142,Thibaut Courtois, BEL,GK,Real Madrid,30,1992,10.0,1,1,0,2,0.0,2,0,0,0,0,3,1
143,Juan Cuadrado, COL,"DF,MF",Juventus,34,1988,4.8,12,7,8,12,66.7,4,7,0,7,8,4,0
144,Marc Cucurella, ESP,DF,Chelsea,24,1998,4.6,12,9,8,8,100.0,0,9,0,9,8,7,0
145,Matheus Cunha, BRA,"FW,MF",Atlético Madrid,23,1999,1.4,2,1,1,1,100.0,0,4,0,4,1,0,0
146,Danilo D'Ambrosio, ITA,DF,Inter,33,1988,1.8,3,1,2,6,33.3,4,1,1,0,4,5,0
147,Danilo, BRA,DF,Juventus,31,1991,4.7,7,2,3,6,50.0,3,3,0,3,7,11,0
148,Arnaut Danjuma, NED,MF,Tottenham,25,1997,0.1,0,0,0,0,0.0,0,0,0,0,0,0,0
149,Mohammed Daramy, DEN,FW,FC Copenhagen,20,2002,4.9,2,1,1,3,33.3,2,2,1,1,4,0,0
150,Matteo Darmian, ITA,DF,Inter,32,1989,9.1,20,11,8,20,40.0,12,9,4,5,19,28,0
151,Dean David, ISR,"FW,DF",Maccabi Haifa,26,1996,2.6,3,2,1,2,50.0,1,0,0,0,0,0,0
152,Alphonso Davies, CAN,DF,Bayern Munich,21,2000,6.7,22,10,9,15,60.0,6,15,5,10,8,12,0
153,Ben Davies, WAL,DF,Tottenham,29,1993,4.4,7,6,3,6,50.0,3,3,2,1,5,13,1
154,Ben Davies, ENG,DF,Rangers,26,1995,2.9,3,1,0,0,0.0,0,3,3,0,4,13,0
155,Steven Davis, NIR,MF,Rangers,37,1985,2.8,5,4,1,1,100.0,0,4,0,4,2,3,0
156,Kevin De Bruyne, BEL,MF,Manchester City,31,1991,8.0,9,3,2,9,22.2,7,4,0,4,2,5,0
157,Charles De Ketelaere, BEL,"MF,FW",Milan,21,2001,2.6,2,1,1,4,25.0,3,7,1,6,3,0,0
158,Rodrigo De Paul, ARG,MF,Atlético Madrid,28,1994,2.8,4,2,1,3,33.3,2,7,0,7,3,2,0
159,Mattia De Sciglio, ITA,DF,Juventus,29,1992,1.1,1,1,1,1,100.0,0,1,0,1,1,0,0
160,Amar Dedić, BIH,DF,RB Salzburg,19,2002,6.0,19,11,10,12,83.3,2,5,1,4,9,19,1
161,Thomas Delaney, DEN,MF,Sevilla,30,1991,2.6,2,2,1,3,33.3,2,2,1,1,1,5,0
162,Ousmane Dembélé, FRA,FW,Barcelona,25,1997,4.6,11,7,4,5,80.0,1,1,0,1,2,0,0
163,Kerem Demirbay, GER,MF,Leverkusen,29,1993,3.0,7,5,1,6,16.7,5,3,0,3,3,1,0
164,Sergiño Dest, USA,DF,Milan,21,2000,2.1,4,1,2,4,50.0,2,3,1,2,1,0,0
165,Giovanni Di Lorenzo, ITA,DF,Napoli,28,1993,9.9,18,10,10,15,66.7,5,9,3,6,12,22,0
166,Ángel Di María, ARG,FW,Juventus,34,1988,1.6,1,0,0,0,0.0,0,0,0,0,0,0,0
167,Moussa Diaby, FRA,"FW,MF",Leverkusen,23,1999,5.6,4,2,2,3,66.7,1,4,0,4,0,0,0
168,Abdou Diallo, SEN,"DF,MF",RB Leipzig,26,1996,2.5,4,2,1,2,50.0,1,1,1,0,1,4,0
169,Rúben Dias, POR,DF,Manchester City,25,1997,11.7,26,18,15,18,83.3,3,14,8,6,7,25,0
170,Brahim Díaz, ESP,"MF,FW",Milan,22,1999,6.7,7,3,2,4,50.0,2,5,1,4,6,0,0
171,Luis Díaz, COL,FW,Liverpool,25,1997,3.0,4,2,2,3,66.7,1,3,1,2,0,0,0
172,Eric Dier, ENG,DF,Tottenham,28,1994,6.9,7,5,2,5,40.0,3,4,3,1,8,23,2
173,Kevin Diks, NED,DF,FC Copenhagen,25,1996,3.7,13,7,6,7,85.7,1,7,4,3,4,10,0
174,Federico Dimarco, ITA,DF,Inter,24,1997,8.1,9,6,6,16,37.5,10,10,3,7,10,19,0
175,Junior Dina Ebimbe, FRA,"MF,DF",Eint Frankfurt,21,2000,2.7,8,6,2,5,40.0,3,0,0,0,1,4,0
176,Marko Dmitrović, SRB,GK,Sevilla,30,1992,2.0,0,0,0,0,0.0,0,1,0,1,0,0,0
177,Matt Doherty, IRL,DF,Tottenham,30,1992,0.8,1,1,1,1,100.0,0,2,0,2,2,1,0
