,Player,Nationality,Position,Club,Age,Born,90s,Yellow Cards,Red Cards,2nd Yellows,Fouls Comitted,Fouls Drawn,Crosses,Interceptions,Tackles won,penalties won,penalties comitted,own goals ,ball recoveries
360,Valdemar Jensen, DEN,DF,FC Copenhagen,19,2003,3.4,1,0,0,4,2,0,0,5,5,0,0,0
361,Thiago Alcántara, ESP,MF,Liverpool,31,1991,3.4,0,0,0,4,6,0,2,7,8,0,0,0
362,Joaquín Correa, ARG,FW,Inter,27,1994,3.4,0,0,0,3,4,3,0,0,1,0,0,0
363,Sergio Gómez, ESP,"DF,MF",Manchester City,21,2000,3.4,0,1,0,3,1,0,15,2,1,0,0,0
364,Conor Gallagher, ENG,MF,Chelsea,22,2000,3.3,2,0,0,5,6,0,10,5,6,0,0,0
365,Joe Gomez, ENG,DF,Liverpool,25,1997,3.3,1,0,0,6,1,0,2,5,2,0,0,0
366,Nuno Santos, POR,"DF,MF",Sporting CP,27,1995,3.3,1,0,0,2,6,0,12,2,5,0,0,0
367,Stefan de Vrij, NED,DF,Inter,30,1992,3.3,1,0,0,4,0,0,0,4,4,0,0,0
368,Hákon Arnar Haraldsson, ISL,FW,FC Copenhagen,19,2003,3.3,0,0,0,4,8,1,3,0,3,0,0,0
369,Ansgar Knauff, GER,"DF,FW",Eint Frankfurt,20,2002,3.3,0,0,0,6,2,0,4,6,6,0,0,0
370,Álvaro Morata, ESP,FW,Atlético Madrid,29,1992,3.3,0,0,0,6,6,4,2,0,0,0,0,0
371,Raphinha, BRA,FW,Barcelona,25,1996,3.3,0,0,0,5,2,1,30,4,7,0,0,0
372,Sebastian Rode, GER,MF,Eint Frankfurt,31,1990,3.3,0,0,0,5,5,0,2,3,5,0,0,0
373,Andreas Skov Olsen, DEN,"FW,MF",Club Brugge,22,1999,3.3,0,0,0,0,3,2,20,0,2,0,0,0
374,Sergio Busquets, ESP,MF,Barcelona,34,1988,3.2,3,0,0,4,9,0,0,4,8,0,0,0
375,Elif Elmas, MKD,"FW,MF",Napoli,22,1999,3.2,1,0,0,5,5,0,1,0,1,0,0,0
376,Noa Lang, NED,FW,Club Brugge,23,1999,3.2,1,0,0,3,6,1,20,0,3,0,0,0
377,Aymeric Laporte, ESP,DF,Manchester City,28,1994,3.2,1,0,0,3,1,0,0,3,0,1,0,0
378,Devyne Rensch, NED,DF,Ajax,19,2003,3.2,1,0,0,2,1,0,1,4,9,0,0,0
379,Antonio Čolak, CRO,FW,Rangers,28,1993,3.2,0,0,0,3,3,4,1,1,0,0,0,0
380,Libor Holík, CZE,DF,Viktoria Plzeň,24,1998,3.2,0,0,0,1,4,0,15,4,1,0,0,0
381,Ísak Jóhannesson, ISL,"FW,MF",FC Copenhagen,19,2003,3.2,0,0,0,2,2,0,14,2,0,0,0,0
382,Jota, POR,FW,Celtic,23,1999,3.2,0,0,0,3,2,2,15,3,0,0,0,0
383,Ruben Loftus-Cheek, ENG,MF,Chelsea,26,1996,3.2,0,0,0,2,8,0,1,7,4,0,0,0
384,Marcel Sabitzer, AUT,MF,Bayern Munich,28,1994,3.1,3,0,0,5,8,0,1,5,8,0,0,0
385,Érik Lamela, ARG,"FW,MF",Sevilla,30,1992,3.1,2,0,0,5,0,1,3,2,1,0,0,0
386,Malick Thiaw, GER,DF,Milan,20,2001,3.1,2,0,0,8,3,0,0,10,4,0,0,0
387,Marko Grujić, SRB,MF,Porto,26,1996,3.1,1,0,0,6,2,0,2,4,5,0,0,0
388,Juan Bernat, ESP,DF,Paris S-G,29,1993,3.1,0,0,0,0,3,0,2,1,7,1,0,0
389,Jordan Henderson, ENG,MF,Liverpool,32,1990,3.1,0,0,0,2,1,0,2,3,2,0,0,0
390,Adam Hložek, CZE,"MF,FW",Leverkusen,20,2002,3.1,0,0,0,3,7,0,1,0,2,0,0,0
391,Saúl Ñíguez, ESP,"MF,DF",Atlético Madrid,27,1994,3.1,0,0,0,6,2,0,6,4,6,0,0,0
392,Kyle Walker, ENG,"DF,FW",Manchester City,32,1990,3.1,0,0,0,2,1,1,5,3,7,0,0,0
393,João Mário Lopes, POR,DF,Porto,22,2000,3.0,3,0,0,4,5,0,8,3,4,0,1,0
394,Stefan Savić, MNE,DF,Atlético Madrid,31,1991,3.0,3,0,0,2,1,0,1,2,1,0,0,0
395,Marko Stamenic, NZL,MF,FC Copenhagen,20,2002,3.0,3,0,0,9,1,0,0,3,1,0,1,0
396,Nicolás Capaldo, ARG,MF,RB Salzburg,24,1997,3.0,2,0,0,10,2,0,5,4,4,0,0,0
397,Gleison Bremer, BRA,DF,Juventus,25,1997,3.0,1,0,0,4,2,0,0,5,3,0,0,0
398,Kerem Demirbay, GER,MF,Leverkusen,29,1993,3.0,1,0,0,9,4,1,28,3,5,0,0,0
399,Jorge Eduardo Sánchez, MEX,DF,Ajax,24,1997,3.0,1,0,0,4,1,0,3,2,4,0,0,0
400,Kevin Kampl, SVN,MF,RB Leipzig,31,1990,3.0,1,0,0,3,1,0,0,3,6,0,0,0
401,Scott Arfield, CAN,MF,Rangers,33,1988,3.0,0,0,0,3,0,1,2,1,1,0,0,0
402,Bernardo, BRA,DF,RB Salzburg,27,1995,3.0,0,0,0,0,3,1,0,5,6,0,0,0
403,Yannick Carrasco, BEL,"DF,MF",Atlético Madrid,28,1993,3.0,0,0,0,3,0,2,23,1,4,0,0,0
404,Luis Díaz, COL,FW,Liverpool,25,1997,3.0,0,0,0,6,5,2,2,0,2,1,0,0
405,Erik Jirka, SVK,"FW,MF",Viktoria Plzeň,24,1997,3.0,0,0,0,2,5,0,4,7,0,0,0,0
406,Franck Kessié, CIV,MF,Barcelona,25,1996,3.0,0,0,0,7,8,0,6,2,2,0,0,0
407,Iván Marcano, ESP,DF,Porto,35,1987,3.0,0,0,0,1,0,0,1,4,1,0,0,1
408,Manuel Neuer, GER,GK,Bayern Munich,36,1986,3.0,0,0,0,0,1,0,0,0,0,0,0,0
409,Oumar Solet, FRA,DF,RB Salzburg,22,2000,3.0,0,0,0,4,1,0,0,3,4,0,0,0
410,Sven Ulreich, GER,GK,Bayern Munich,33,1988,3.0,0,0,0,0,0,0,0,0,0,0,0,0
411,Makoto Hasebe, JPN,DF,Eint Frankfurt,38,1984,2.9,2,0,0,3,8,0,0,2,2,0,0,0
412,Ben Davies, ENG,DF,Rangers,26,1995,2.9,1,0,0,2,1,0,0,4,1,0,0,0
413,Joan Jordán, ESP,MF,Sevilla,28,1994,2.9,1,0,0,5,5,0,1,4,2,0,0,0
414,Ibrahima Konaté, FRA,DF,Liverpool,23,1999,2.9,1,0,0,7,4,0,0,1,5,0,0,0
415,César Azpilicueta, ESP,DF,Chelsea,32,1989,2.9,0,0,0,4,4,0,4,3,5,0,0,0
416,Diogo Jota, POR,"FW,MF",Liverpool,25,1996,2.9,0,0,0,3,5,1,2,0,2,0,0,0
417,Konrad Laimer, AUT,"MF,FW",RB Leipzig,25,1997,2.9,0,0,0,2,1,0,2,2,6,0,0,0
418,Gerard Piqué, ESP,DF,Barcelona,35,1987,2.9,0,0,0,1,1,0,0,3,2,0,0,0
419,Marco Reus, GER,"MF,FW",Dortmund,33,1989,2.9,0,0,0,4,1,1,4,3,2,0,0,0
420,Giovanni Simeone, ARG,FW,Napoli,27,1995,2.9,0,0,0,3,4,4,4,0,2,1,0,0
421,Rodrigo De Paul, ARG,MF,Atlético Madrid,28,1994,2.8,1,0,0,2,8,1,20,3,2,0,0,0
422,Donyell Malen, NED,"FW,MF",Dortmund,23,1999,2.8,1,0,0,1,3,1,1,2,0,0,0,0
423,Alfredo Morelos, COL,FW,Rangers,26,1996,2.8,1,0,0,4,9,0,1,1,1,0,0,0
424,Giacomo Raspadori, ITA,FW,Napoli,22,2000,2.8,1,0,0,4,5,1,9,2,3,0,0,0
425,Steven Davis, NIR,MF,Rangers,37,1985,2.8,0,0,0,0,1,0,0,2,4,0,0,0
426,Samuel Gigot, FRA,DF,Marseille,28,1993,2.8,0,0,0,2,3,0,2,4,0,0,0,0
427,Ryan Gravenberch, NED,MF,Bayern Munich,20,2002,2.8,0,0,0,7,3,0,3,3,5,0,0,0
428,Ante Rebić, CRO,"FW,MF",Milan,28,1993,2.8,0,0,0,9,1,0,9,1,3,0,0,0
429,Junior Dina Ebimbe, FRA,"MF,DF",Eint Frankfurt,21,2000,2.7,1,0,0,9,4,0,3,1,6,0,0,0
430,Joël Matip, CMR,DF,Liverpool,30,1991,2.7,1,0,0,2,2,0,0,3,3,0,0,0
431,James Milner, ENG,MF,Liverpool,36,1986,2.7,1,0,0,7,4,0,7,2,9,0,1,0
432,Alex Sandro, BRA,DF,Juventus,31,1991,2.7,1,0,0,3,5,0,5,5,2,0,0,0
433,Youssef En-Nesyri, MAR,FW,Sevilla,25,1997,2.7,0,0,0,1,1,3,2,2,2,0,0,0
434,Ansu Fati, ESP,FW,Barcelona,19,2002,2.7,0,0,0,6,0,0,4,0,1,0,0,0
435,João Félix, POR,"FW,MF",Chelsea,22,1999,2.7,0,0,0,1,6,1,12,0,1,0,0,0
436,Lassina Franck Traoré, BFA,FW,Shakhtar,21,2001,2.7,0,0,0,4,4,3,0,0,0,0,0,0
437,Giorgos Giakoumakis, GRE,FW,Celtic,27,1994,2.7,0,0,0,8,4,0,0,4,3,0,0,0
438,Papu Gómez, ARG,"FW,MF",Sevilla,34,1988,2.7,0,0,0,2,5,0,6,3,2,0,0,0
439,Jules Koundé, FRA,DF,Barcelona,23,1998,2.7,0,0,0,0,1,0,2,3,3,0,0,0
440,Youssoufa Moukoko, GER,"FW,MF",Dortmund,17,2004,2.7,0,0,0,1,2,2,1,0,1,0,0,0
441,Malik Tillman, USA,MF,Rangers,20,2002,2.7,0,0,0,1,5,0,1,3,5,0,0,0
442,Charles De Ketelaere, BEL,"MF,FW",Milan,21,2001,2.6,1,0,0,5,1,0,3,3,1,0,0,0
443,Paulinho, POR,FW,Sporting CP,29,1992,2.6,1,0,0,4,9,1,0,0,2,0,0,0
444,Fabián Ruiz Peña, ESP,MF,Paris S-G,26,1996,2.6,1,0,0,4,4,0,0,1,1,0,0,0
445,Dean David, ISR,"FW,DF",Maccabi Haifa,26,1996,2.6,0,0,0,2,1,1,2,0,2,0,0,0
446,Thomas Delaney, DEN,MF,Sevilla,30,1991,2.6,0,0,0,2,4,0,1,1,2,0,0,0
447,Frenkie de Jong, NED,MF,Barcelona,25,1997,2.6,0,0,0,2,6,0,4,3,3,0,0,0
448,Fashion Sakala, ZAM,"FW,MF",Rangers,25,1997,2.6,0,0,0,2,6,2,8,2,3,0,0,0
449,Suso, ESP,"FW,MF",Sevilla,28,1993,2.6,0,0,0,2,6,1,4,1,2,0,0,0
450,Geoffrey Kondogbia, CTA,MF,Atlético Madrid,29,1993,2.5,2,0,0,3,3,0,2,7,4,0,0,0
451,Gonzalo Montiel, ARG,DF,Sevilla,25,1997,2.5,2,0,0,4,2,0,7,4,5,0,0,0
452,Christopher Lenz, GER,DF,Eint Frankfurt,27,1994,2.5,1,0,0,7,1,1,9,4,2,0,0,0
453,Manuel Locatelli, ITA,MF,Juventus,24,1998,2.5,1,0,0,4,2,1,6,2,5,0,0,0
454,Rafael Borré, COL,FW,Eint Frankfurt,26,1995,2.5,0,0,0,5,6,3,2,0,1,0,0,0
455,Abdou Diallo, SEN,"DF,MF",RB Leipzig,26,1996,2.5,0,0,0,0,2,0,1,1,2,0,0,0
456,Eric García, ESP,DF,Barcelona,21,2001,2.5,0,0,0,2,0,1,2,4,2,0,0,0
457,Sead Haksabanović, MNE,"MF,FW",Celtic,23,1999,2.5,0,0,0,2,7,0,18,2,3,0,0,0
458,Marcão, BRA,DF,Sevilla,26,1996,2.5,0,0,0,2,4,0,0,1,5,0,0,0
459,Jesús Navas, ESP,"DF,MF",Sevilla,36,1985,2.5,0,0,0,0,3,2,10,5,1,0,0,0
460,Fabio Miretti, ITA,"MF,FW",Juventus,18,2003,2.4,2,0,0,4,3,0,5,0,2,0,1,0
461,Liel Abada, ISR,"FW,MF",Celtic,20,2001,2.4,0,0,0,0,3,1,10,2,1,1,0,0
462,Marcos Acuña, ARG,"DF,MF",Sevilla,30,1991,2.4,0,0,0,8,0,0,9,2,5,0,0,0
463,Charles Aránguiz, CHI,MF,Leverkusen,33,1989,2.4,0,0,0,3,0,0,0,2,2,0,0,0
464,Andreas Christensen, DEN,DF,Barcelona,26,1996,2.4,0,0,0,2,2,0,0,3,1,0,0,0
465,João Félix, POR,FW,Atlético Madrid,22,1999,2.4,0,0,0,1,10,1,6,0,0,0,0,0
466,Davy Klaassen, NED,MF,Ajax,29,1993,2.4,0,0,0,0,2,1,1,0,0,0,0,0
467,Marcos Llorente, ESP,"MF,FW",Atlético Madrid,27,1995,2.4,0,0,0,1,0,0,3,2,1,0,0,0
468,Callum McGregor, SCO,MF,Celtic,29,1993,2.4,0,0,0,1,1,0,1,5,1,0,0,0
469,Juan Jesus, BRA,DF,Napoli,31,1991,2.3,2,0,0,4,0,0,0,1,1,0,1,0
470,Junior Adamu, AUT,FW,RB Salzburg,21,2001,2.3,1,0,0,6,1,4,5,1,8,0,0,0
471,Matteo Gabbia, ITA,DF,Milan,22,1999,2.3,1,0,0,5,3,0,0,3,1,0,0,0
472,Dolev Haziz, ISR,DF,Maccabi Haifa,27,1995,2.3,1,0,0,3,4,0,15,2,5,0,0,0
473,Sergi Roberto, ESP,DF,Barcelona,30,1992,2.3,1,0,0,0,0,0,3,4,1,0,0,0
474,Oliver Skipp, ENG,MF,Tottenham,21,2000,2.3,1,0,0,4,3,0,2,2,4,0,0,0
475,Benjamin Henrichs, GER,"DF,MF",RB Leipzig,25,1997,2.2,2,0,0,5,2,0,5,3,2,0,1,0
476,Gilberto, BRA,DF,Benfica,29,1993,2.2,1,0,0,2,3,0,6,6,5,1,0,0
477,Luca Pellegrini, ITA,"DF,MF",Eint Frankfurt,23,1999,2.2,1,0,0,3,0,1,15,3,3,0,0,0
478,Lucas Vázquez, ESP,DF,Real Madrid,31,1991,2.2,1,0,0,3,4,0,9,3,1,0,0,0
479,Thorgan Hazard, BEL,"DF,FW",Dortmund,29,1993,2.2,0,0,0,2,2,0,7,3,1,0,0,0
480,Dejan Kulusevski, SWE,"MF,DF",Tottenham,22,2000,2.2,0,0,0,7,5,0,10,1,3,0,0,0
481,Leo Skiri Østigård, NOR,DF,Napoli,22,1999,2.2,0,0,0,0,2,1,1,2,2,0,0,0
482,Ryan Jack, SCO,MF,Rangers,30,1992,2.1,1,0,0,5,1,0,3,1,3,0,0,0
483,Romelu Lukaku, BEL,FW,Inter,29,1993,2.1,1,0,0,5,1,0,1,0,3,0,0,0
484,Jerry St. Juste, NED,DF,Sporting CP,25,1996,2.1,1,0,0,4,5,0,0,7,5,0,0,0
485,Ferrán Torres, ESP,"FW,MF",Barcelona,22,2000,2.1,1,0,0,2,2,1,1,0,2,0,0,0
486,Sergiño Dest, USA,DF,Milan,21,2000,2.1,0,0,0,2,1,1,3,1,1,0,0,0
487,Rasmus Falk, DEN,MF,FC Copenhagen,30,1992,2.1,0,0,0,0,4,0,0,7,1,0,0,0
488,Péter Gulácsi, HUN,GK,RB Leipzig,32,1990,2.1,0,0,0,0,0,0,0,0,0,0,0,0
489,Elias Jelert, DEN,"DF,MF",FC Copenhagen,19,2003,2.1,0,0,0,2,0,0,4,1,2,0,0,0
490,Maryan Shved, UKR,MF,Shakhtar,25,1997,2.1,0,0,0,4,2,0,3,4,2,0,0,0
491,Modou Biramé Ndiaye, SEN,MF,Viktoria Plzeň,25,1996,2.0,1,0,0,1,4,0,0,6,1,0,0,0
492,Federico Gatti, ITA,DF,Juventus,24,1998,2.0,1,0,0,4,3,0,1,2,2,0,0,0
493,Mattia Perin, ITA,GK,Juventus,29,1992,2.0,1,0,0,0,0,0,0,0,0,0,0,0
494,Enrique Valiente, ESP,DF,Sevilla,20,2002,2.0,1,0,0,3,1,0,1,1,3,0,0,0
495,Marius Wolf, GER,DF,Dortmund,27,1995,2.0,1,0,0,4,1,0,9,2,3,0,1,0
496,Héctor Bellerín, ESP,DF,Barcelona,27,1995,2.0,0,0,0,2,0,0,5,1,3,0,0,0
497,Marko Dmitrović, SRB,GK,Sevilla,30,1992,2.0,0,0,0,0,0,0,0,0,0,0,0,0
498,Fraser Forster, ENG,GK,Tottenham,34,1988,2.0,0,0,0,0,0,0,0,0,0,0,0,0
499,Andriy Lunin, UKR,GK,Real Madrid,23,1999,2.0,0,0,0,0,0,0,0,0,0,0,0,0
500,Tanguy Nianzou, FRA,DF,Sevilla,20,2002,2.0,0,0,0,1,2,0,0,2,1,0,0,0
501,Stefan Ortega, GER,GK,Manchester City,29,1992,2.0,0,0,0,0,0,0,0,0,0,0,0,0
502,Ivan Petryak, UKR,MF,Shakhtar,28,1994,2.0,0,0,0,2,1,1,4,0,2,0,0,0
503,Mathew Ryan, AUS,GK,FC Copenhagen,30,1992,2.0,0,0,0,0,0,0,0,0,0,0,0,0
504,Cengiz Ünder, TUR,MF,Marseille,25,1997,1.9,1,0,0,1,0,1,7,1,3,0,0,0
505,Alejandro Balde, ESP,DF,Barcelona,18,2003,1.9,0,0,0,1,4,0,9,0,0,0,0,0
506,William Clem, DEN,MF,FC Copenhagen,18,2004,1.9,0,0,0,1,2,0,0,4,2,0,0,0
507,Marcel Halstenberg, GER,DF,RB Leipzig,30,1991,1.9,0,0,0,2,2,0,10,6,0,0,0,0
508,Lucas Hernández, FRA,DF,Bayern Munich,26,1996,1.9,0,0,0,1,3,0,0,8,2,0,0,0
509,Lucas Moura, BRA,"FW,MF",Tottenham,29,1992,1.9,0,0,0,1,1,4,4,0,2,0,0,0
510,Dario Špikić, CRO,"FW,DF",Dinamo Zagreb,23,1999,1.9,0,0,0,1,5,0,4,4,1,0,0,0
511,Mohamed Tijani, BEN,DF,Viktoria Plzeň,25,1997,1.9,0,0,0,1,1,0,0,2,0,0,0,0
512,Mario Hermoso, ESP,DF,Atlético Madrid,27,1995,1.8,1,0,0,2,1,0,4,2,1,0,1,0
513,Tommaso Pobega, ITA,MF,Milan,23,1999,1.8,1,0,0,7,1,0,2,0,2,0,0,0
514,Aurélio Buta, POR,DF,Eint Frankfurt,25,1997,1.8,0,0,0,1,0,0,5,1,4,0,1,0
515,Danilo D'Ambrosio, ITA,DF,Inter,33,1988,1.8,0,0,0,3,4,1,2,4,1,0,0,1
516,N'Golo Kanté, FRA,MF,Chelsea,31,1991,1.8,0,0,0,3,0,0,5,2,2,0,0,0
517,Clinton Mata, ANG,DF,Club Brugge,29,1992,1.8,0,0,0,1,1,0,3,4,1,0,0,0
518,Maximilian Wöber, AUT,DF,RB Salzburg,24,1998,1.8,0,0,0,3,0,0,9,0,6,0,0,0
519,Zeca, GRE,MF,FC Copenhagen,33,1988,1.8,0,0,0,4,0,0,0,3,0,0,0,0
520,Rafa Mir, ESP,"MF,FW",Sevilla,25,1997,1.7,1,0,0,2,1,0,0,0,0,0,0,0
521,Divock Origi, BEL,FW,Milan,27,1995,1.7,1,0,0,3,2,2,2,0,0,0,0,0
522,Ryan Sessegnon, ENG,"MF,DF",Tottenham,22,2000,1.7,1,0,0,6,3,2,3,2,7,0,0,0
523,Cody Gakpo, NED,"FW,MF",Liverpool,23,1999,1.7,0,0,0,1,3,1,4,1,5,0,0,0
524,Franco Israel, URU,GK,Sporting CP,22,2000,1.7,0,0,0,0,0,0,0,0,0,0,0,0
525,Sead Kolašinac, BIH,DF,Marseille,29,1993,1.7,0,0,0,3,1,0,0,1,3,0,0,0
526,Aaron Mooy, AUS,MF,Celtic,31,1990,1.7,0,0,0,1,0,0,13,1,0,0,0,0
527,Carlos Soler, ESP,MF,Paris S-G,25,1997,1.7,0,0,0,3,3,0,2,3,4,0,0,0
528,Presnel Kimpembe, FRA,DF,Paris S-G,26,1995,1.6,1,0,0,3,2,0,0,2,2,0,0,0
529,Jan Sýkora, CZE,"FW,DF",Viktoria Plzeň,28,1993,1.6,1,0,0,3,2,1,1,3,0,0,0,0
530,Hakim Ziyech, MAR,"FW,MF",Chelsea,29,1993,1.6,1,0,0,3,3,1,18,2,0,0,0,0
531,Jordi Alba, ESP,DF,Barcelona,33,1989,1.6,0,0,0,0,0,0,9,0,0,0,0,0
532,Ángel Di María, ARG,FW,Juventus,34,1988,1.6,0,0,0,1,2,0,10,0,0,0,0,0
533,Sébastien Haller, CIV,FW,Dortmund,28,1994,1.6,0,0,0,1,2,0,0,0,0,0,0,0
534,Renato Sanches, POR,MF,Paris S-G,24,1997,1.6,0,0,0,3,3,0,0,1,0,0,0,0
535,Mathys Tel, FRA,FW,Bayern Munich,17,2005,1.6,0,0,0,0,1,1,4,3,1,0,0,0
536,Wendell, BRA,DF,Porto,29,1993,1.6,0,0,0,2,4,0,8,1,1,0,0,0
537,Fodé Ballo-Touré, SEN,"DF,MF",Milan,25,1997,1.5,2,0,0,3,2,0,3,5,2,0,0,0
538,Dedryck Boyata, BEL,DF,Club Brugge,31,1990,1.5,1,0,0,1,0,0,0,7,0,0,0,0
539,Fortune Bassey, NGA,FW,Viktoria Plzeň,23,1998,1.5,0,0,0,0,0,0,0,0,0,0,0,0
540,Eden Hazard, BEL,"FW,MF",Real Madrid,31,1991,1.5,0,0,0,0,2,0,0,1,0,0,0,0
541,Cole Palmer, ENG,"MF,FW",Manchester City,20,2002,1.5,0,0,0,1,0,0,4,0,0,0,0,0
542,Scott Wright, SCO,"FW,MF",Rangers,24,1997,1.5,0,0,0,2,1,3,2,1,1,0,0,0
