,Player,Nationality,Position,Club ,Age,Born,90s,Total Passes completion %,Progressive passing distance,Passes completed (short) %,Passes completed (medium) %,Passes completed (long) %,Assists,Expected Assist Goals (xAG),xA,A-xAG,Key Passes,Passes into Final third,Passes into Penalty Area,Crosses into Penalty Area,Progressive passes
0,Liel Abada,ISR,"FW,MF",Celtic,20,2001,2.4,66.1,136,91.2,46.7,0.0,0,0.5,0.6,-0.5,4,1,3,1,4
1,Oliver Abildgaard,DEN,MF,Celtic,26,1996,0.7,72.7,121,83.3,81.3,50.0,0,0.0,0.0,0.0,0,0,0,0,2
2,Mohammad Abu Fani,ISR,MF,Maccabi Haifa,24,1998,4.4,86.1,732,87.4,89.0,90.3,0,0.6,0.7,-0.6,9,22,7,0,29
3,Francesco Acerbi,ITA,DF,Inter,34,1988,10.2,87.5,3420,89.5,92.7,63.2,0,0.1,0.1,-0.1,1,31,0,0,29
4,Marcos Acuña,ARG,"DF,MF",Sevilla,30,1991,2.4,69.1,533,84.8,76.9,35.0,1,0.2,0.1,0.8,4,4,4,2,5
5,Junior Adamu,AUT,FW,RB Salzburg,21,2001,2.3,52.1,110,52.0,61.5,0.0,1,0.4,0.2,0.6,2,2,2,2,1
6,Antonio Adán,ESP,GK,Sporting CP,35,1987,4.2,69.9,1688,100.0,95.3,35.1,0,0.0,0.0,0.0,0,0,0,0,0
7,Arijan Ademi,MKD,MF,Dinamo Zagreb,31,1991,5.2,83.0,364,87.5,87.5,100.0,0,0.1,0.1,-0.1,3,8,1,0,10
8,Karim Adeyemi,GER,"FW,MF",Dortmund,20,2002,4.2,76.2,241,91.2,70.4,60.0,0,1.1,0.7,-1.1,7,4,1,0,9
9,Amine Adli,FRA,"FW,MF",Leverkusen,22,2000,1.3,68.8,170,64.7,86.4,50.0,0,0.3,0.4,-0.3,2,2,4,1,6
10,Manuel Akanji,SUI,DF,Manchester City,27,1995,10.5,91.8,4176,95.8,94.7,74.2,0,0.4,0.7,-0.4,4,55,2,0,44
11,Nathan Aké,NED,DF,Manchester City,27,1995,6.8,91.5,3327,97.1,91.6,79.6,0,0.3,0.4,-0.3,2,72,2,1,54
12,David Alaba,AUT,DF,Real Madrid,30,1992,7.9,87.0,2043,93.6,87.8,42.9,0,0.6,1.4,-0.6,8,23,3,2,19
13,Lucas Alario,ARG,"FW,MF",Eint Frankfurt,29,1992,0.2,33.3,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
14,Jordi Alba,ESP,DF,Barcelona,33,1989,1.6,88.5,848,94.1,89.7,52.6,1,0.6,1.0,0.4,5,22,5,2,19
15,Thiago Alcántara,ESP,MF,Liverpool,31,1991,3.4,88.4,1265,89.9,92.5,81.6,0,0.5,0.9,-0.5,3,36,6,0,30
16,Trent Alexander-Arnold,ENG,DF,Liverpool,23,1998,6.9,76.7,3245,91.7,79.3,50.4,0,1.2,1.9,-1.2,14,38,18,8,52
17,Sotiris Alexandropoulos,GRE,MF,Sporting CP,20,2001,1.3,78.6,83,85.7,92.3,25.0,0,0.0,0.0,0.0,0,2,0,0,3
18,Faride Alidou,GER,"DF,FW",Eint Frankfurt,21,2001,0.8,84.2,73,89.5,84.6,75.0,0,0.1,0.0,-0.1,3,1,1,1,0
19,Alisson,BRA,GK,Liverpool,29,1992,8.0,88.3,3991,100.0,97.4,71.1,0,0.0,0.0,0.0,0,6,0,0,0
20,Marcos Alonso,ESP,DF,Barcelona,31,1990,4.5,90.0,2357,93.3,93.8,74.4,0,0.9,1.1,-0.9,8,33,6,4,26
21,Éder Álvarez Balanta,COL,"MF,FW",Club Brugge,29,1993,0.6,76.5,53,75.0,71.4,100.0,0,0.0,0.0,0.0,1,1,1,0,1
22,Edson Álvarez,MEX,MF,Ajax,24,1997,5.9,85.7,1458,87.9,94.8,57.5,0,0.1,0.1,-0.1,2,28,2,0,14
23,Julián Álvarez,ARG,FW,Manchester City,22,2000,5.3,80.8,245,89.3,85.7,60.0,2,1.0,0.6,1.0,8,7,4,2,9
24,Nadiem Amiri,GER,"MF,FW",Leverkusen,25,1996,1.4,79.7,232,94.7,80.0,50.0,1,0.5,0.1,0.5,3,4,2,0,6
25,Robert Andrich,GER,MF,Leverkusen,27,1994,4.5,85.0,716,88.6,87.2,65.0,0,0.1,0.2,-0.1,2,15,2,0,14
26,Peter Ankersen,DEN,DF,FC Copenhagen,31,1990,0.3,50.0,21,75.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
27,Ofri Arad,ISR,"DF,MF",Maccabi Haifa,23,1998,0.2,90.9,55,100.0,66.7,0.0,0,0.0,0.0,0.0,0,1,0,0,1
28,Charles Aránguiz,CHI,MF,Leverkusen,33,1989,2.4,94.8,697,100.0,95.5,81.3,0,0.1,0.2,-0.1,3,13,1,0,15
29,Henrique Araújo,POR,FW,Benfica,20,2002,0.1,62.5,9,66.7,75.0,0.0,0,0.1,0.0,-0.1,2,0,1,0,1
30,Ronald Araújo,URU,DF,Barcelona,23,1999,1.0,85.5,397,72.2,100.0,72.7,0,0.0,0.0,0.0,0,4,0,0,6
31,Scott Arfield,CAN,MF,Rangers,33,1988,3.0,67.8,224,75.0,75.0,66.7,0,0.0,0.1,0.0,1,4,0,0,7
32,Hákon Arnar Haraldsson,ISL,FW,FC Copenhagen,19,2003,3.3,79.0,167,86.5,89.3,40.0,0,0.2,0.1,-0.2,1,3,1,0,7
33,Kepa Arrizabalaga,ESP,GK,Chelsea,27,1994,9.0,72.9,3291,100.0,94.0,47.2,0,0.0,0.0,0.0,0,1,0,0,1
34,Arthur,BRA,"MF,FW",Sporting CP,24,1998,1.2,76.7,129,89.5,85.7,40.0,0,0.3,0.3,-0.3,2,4,3,0,5
35,Marco Asensio,ESP,"FW,MF",Real Madrid,26,1996,3.6,86.8,477,88.9,89.3,66.7,1,1.7,1.7,-0.7,9,15,4,2,19
36,Kristjan Asllani,ALB,MF,Inter,20,2002,1.4,79.7,327,95.2,88.2,57.1,0,0.3,0.4,-0.3,2,6,2,0,3
37,Omer Atzili,ISR,"FW,MF",Maccabi Haifa,29,1993,3.4,67.2,497,81.5,71.0,50.0,1,0.7,0.4,0.3,10,6,7,3,12
38,Pierre-Emerick Aubameyang,GAB,FW,Chelsea,33,1989,4.5,76.5,200,81.5,81.6,0.0,1,0.5,0.3,0.5,6,4,4,0,11
39,Lynnt Audoor,BEL,MF,Club Brugge,18,2003,0.1,50.0,13,33.3,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
40,Fredrik Aursnes,NOR,"FW,MF",Benfica,26,1995,6.9,80.5,1170,87.9,87.0,52.9,0,0.6,1.0,-0.6,11,20,7,1,30
41,Sardar Azmoun,IRN,FW,Leverkusen,27,1995,0.1,66.7,36,0.0,100.0,0.0,0,0.1,0.0,-0.1,1,0,1,0,2
42,César Azpilicueta,ESP,DF,Chelsea,32,1989,2.9,88.9,1284,94.8,92.5,52.6,0,0.2,0.3,-0.2,4,26,3,2,15
43,Youri Baas,NED,DF,Ajax,19,2003,0.5,85.2,58,92.9,83.3,0.0,0,0.0,0.0,0.0,0,1,0,0,1
44,Alexander Bah,DEN,DF,Benfica,24,1997,7.3,78.9,2818,86.2,82.2,62.8,2,1.0,0.9,1.0,11,43,9,3,44
45,Eric Bailly,CIV,DF,Marseille,28,1994,3.4,85.7,1205,83.6,92.8,71.9,0,0.0,0.0,0.0,0,12,0,0,12
46,Stefan Bajcetic,ESP,MF,Liverpool,17,2004,1.2,78.9,198,83.9,82.8,63.6,0,0.0,0.0,0.0,0,3,0,0,6
47,Mitchel Bakker,NED,"MF,DF",Leverkusen,22,2000,3.8,81.0,796,92.4,80.0,40.0,0,0.3,0.2,-0.3,4,14,3,0,21
48,Alejandro Balde,ESP,DF,Barcelona,18,2003,1.9,87.0,416,91.7,92.6,57.1,0,0.0,0.2,0.0,1,6,4,2,11
49,Leonardo Balerdi,ARG,DF,Marseille,23,1999,5.5,87.0,1682,90.9,89.6,83.3,0,0.0,0.1,0.0,0,26,1,0,29
50,Fodé Ballo-Touré,SEN,"DF,MF",Milan,25,1997,1.5,83.3,290,94.9,81.8,75.0,0,0.0,0.0,0.0,0,3,0,0,2
51,Tommaso Barbieri,ITA,MF,Juventus,19,2002,0.0,66.7,28,100.0,0.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0
52,Roony Bardghji,SWE,FW,FC Copenhagen,16,2005,1.1,62.5,41,66.7,80.0,0.0,0,0.0,0.0,0.0,0,2,0,0,2
53,Nicolò Barella,ITA,MF,Inter,25,1997,11.0,79.1,1504,89.2,80.5,66.0,0,0.7,0.9,-0.7,12,27,11,3,51
54,Borna Barišić,CRO,DF,Rangers,29,1992,5.2,82.5,1348,89.0,87.8,57.9,0,0.3,0.4,-0.3,5,19,4,4,17
55,Enzo Barrenechea,ARG,DF,Juventus,21,2001,0.0,60.0,7,50.0,50.0,100.0,0,0.0,0.0,0.0,0,0,0,0,0
56,Pablo Barrios,ESP,MF,Atlético Madrid,19,2003,0.1,100.0,16,100.0,100.0,0.0,0,0.0,0.0,0.0,0,1,0,0,1
57,Calvin Bassey,NGA,DF,Ajax,22,1999,6.0,89.2,1767,94.4,91.7,47.1,1,0.1,0.1,0.9,2,16,1,1,16
58,Fortune Bassey,NGA,FW,Viktoria Plzeň,23,1998,1.5,81.5,70,81.3,100.0,100.0,0,0.1,0.1,-0.1,2,1,2,0,3
59,Alessandro Bastoni,ITA,DF,Inter,23,1999,10.9,83.1,4095,95.5,89.6,61.0,3,2.0,1.7,1.0,11,43,14,11,46
60,Dylan Batubinsika,COD,DF,Maccabi Haifa,26,1996,5.0,87.9,1074,94.4,92.0,59.1,0,0.0,0.1,0.0,0,6,0,0,7
61,Martin Baturina,CRO,MF,Dinamo Zagreb,19,2003,0.7,78.4,99,83.3,83.3,100.0,0,0.1,0.1,-0.1,2,3,1,0,5
62,Raoul Bellanova,ITA,"DF,MF",Inter,22,2000,1.3,67.2,198,90.0,78.3,50.0,0,0.0,0.1,0.0,1,0,1,1,1
63,Héctor Bellerín,ESP,DF,Barcelona,27,1995,2.0,80.6,393,94.4,78.6,71.4,0,0.1,0.1,-0.1,1,4,2,1,6
64,Jude Bellingham,ENG,MF,Dortmund,19,2003,7.0,81.8,1401,88.8,84.2,69.2,1,0.7,0.7,0.3,7,40,11,0,50
65,Ismaël Bennacer,ALG,MF,Milan,24,1997,6.5,84.3,1323,92.1,83.5,72.3,0,0.3,0.3,-0.3,4,37,3,0,31
66,Rodrigo Bentancur,URU,"MF,FW",Tottenham,25,1997,5.6,86.6,1572,88.8,90.5,65.4,0,0.3,0.6,-0.3,3,35,3,0,51
67,Karim Benzema,FRA,FW,Real Madrid,34,1987,8.3,85.1,643,88.8,91.7,66.7,1,1.8,1.7,-0.8,18,15,14,0,31
68,Steven Berghuis,NED,"MF,FW",Ajax,30,1991,5.1,74.5,1259,87.5,75.0,60.0,2,0.6,1.0,1.4,6,32,14,4,39
69,Steven Bergwijn,NED,FW,Ajax,24,1997,5.8,89.8,399,96.9,83.6,83.3,0,0.8,1.1,-0.8,10,8,7,1,16
70,Alexandro Bernabei,ARG,FW,Celtic,21,2000,0.1,100.0,6,100.0,100.0,0.0,0,0.0,0.0,0.0,1,0,0,0,0
71,Bernardo,BRA,DF,RB Salzburg,27,1995,3.0,67.1,494,73.7,73.5,56.3,0,0.0,0.0,0.0,0,4,0,0,6
72,Juan Bernat,ESP,DF,Paris S-G,29,1993,3.1,91.5,655,91.9,93.2,66.7,0,0.1,0.1,-0.1,1,19,2,0,11
73,Victor Bernth Kristiansen,DEN,"DF,MF",FC Copenhagen,19,2002,5.4,74.9,1169,85.0,80.2,47.7,0,0.3,0.3,-0.3,6,14,3,3,11
74,Modou Biramé Ndiaye,SEN,MF,Viktoria Plzeň,25,1996,2.0,75.4,447,71.4,88.0,66.7,0,0.0,0.0,0.0,0,7,1,0,6
75,Yves Bissouma,MLI,MF,Tottenham,25,1996,1.0,90.3,285,92.1,96.2,60.0,0,0.0,0.0,0.0,0,3,1,0,5
76,Janis Blaswich,GER,GK,RB Leipzig,31,1991,5.9,83.3,2101,100.0,97.1,43.1,0,0.0,0.0,0.0,0,4,0,0,0
77,Daley Blind,NED,DF,Ajax,32,1990,4.5,83.2,2157,93.6,88.4,60.0,0,0.1,0.4,-0.1,2,33,5,0,33
78,Petar Bočkaj,CRO,"DF,FW",Dinamo Zagreb,26,1996,0.4,57.1,69,75.0,60.0,50.0,0,0.0,0.0,0.0,0,2,0,0,3
79,Nicolai Boilesen,DEN,DF,FC Copenhagen,30,1992,1.1,96.4,563,100.0,98.0,66.7,0,0.0,0.0,0.0,1,3,1,0,3
80,Valerii Bondar,UKR,DF,Shakhtar,23,1999,6.0,92.2,2076,96.5,96.7,71.4,0,0.0,0.0,0.0,0,5,0,0,6
81,Artem Bondarenko,UKR,MF,Shakhtar,21,2000,5.4,87.4,847,92.1,91.3,63.6,0,0.2,0.1,-0.2,5,13,1,0,23
82,Leonardo Bonucci,ITA,DF,Juventus,35,1987,4.9,86.5,2661,93.7,92.3,71.6,0,0.0,0.3,0.0,0,26,1,0,20
83,Gonçalo Borges,POR,"MF,FW",Porto,21,2001,0.4,60.0,28,57.1,40.0,100.0,0,0.0,0.0,0.0,0,1,0,0,1
84,Rafael Borré,COL,FW,Eint Frankfurt,26,1995,2.5,80.0,117,86.8,75.0,100.0,0,0.8,0.6,-0.8,3,4,1,1,3
85,Yassine Bounou,MAR,GK,Sevilla,31,1991,4.0,79.8,2595,100.0,96.7,55.2,0,0.0,0.0,0.0,0,1,0,0,0
86,Dedryck Boyata,BEL,DF,Club Brugge,31,1990,1.5,83.5,388,88.9,96.2,41.2,0,0.0,0.0,0.0,0,2,0,0,4
87,Julian Brandt,GER,"MF,FW",Dortmund,26,1996,5.3,80.6,810,88.8,85.7,48.1,1,1.0,0.8,0.0,8,15,12,1,29
88,Gleison Bremer,BRA,DF,Juventus,25,1997,3.0,85.3,835,82.9,90.8,68.8,0,0.0,0.0,0.0,0,3,0,0,3
89,Brian Brobbey,NED,FW,Ajax,20,2002,1.3,76.0,21,72.7,85.7,100.0,0,0.6,0.1,-0.6,2,1,1,1,0
90,Armando Broja,ALB,FW,Chelsea,20,2001,1.3,77.4,67,83.3,72.7,0.0,0,0.1,0.5,-0.1,1,2,1,0,2
91,Marcelo Brozović,CRO,MF,Inter,29,1992,6.1,89.2,1827,93.0,93.4,78.8,0,0.3,0.8,-0.3,4,28,3,2,37
92,Pavel Bucha,CZE,MF,Viktoria Plzeň,24,1998,4.0,87.1,645,89.5,93.5,83.3,0,0.6,0.5,-0.6,7,17,4,2,17
93,Tajon Buchanan,CAN,"DF,MF",Club Brugge,23,1999,5.8,76.2,346,83.8,73.3,63.6,2,0.3,0.1,1.7,2,3,2,1,8
94,Marko Bulat,CRO,MF,Dinamo Zagreb,20,2001,0.3,82.6,49,90.0,75.0,75.0,0,0.0,0.0,0.0,0,1,0,0,1
95,Sergio Busquets,ESP,MF,Barcelona,34,1988,3.2,83.1,631,85.2,87.0,87.5,0,0.0,0.3,0.0,0,17,2,0,18
96,Aurélio Buta,POR,DF,Eint Frankfurt,25,1997,1.8,62.7,173,71.4,66.7,33.3,0,0.0,0.0,0.0,0,1,0,0,4
97,Jamie Bynoe-Gittens,ENG,MF,Dortmund,17,2004,0.4,66.7,48,66.7,100.0,0.0,0,0.0,0.0,0.0,0,1,0,0,1
98,Jovane Cabral,CPV,MF,Sporting CP,24,1998,0.1,75.0,29,75.0,100.0,0.0,0,0.0,0.0,0.0,0,0,2,1,1
99,Davide Calabria,ITA,DF,Milan,25,1996,5.5,80.9,1548,89.0,86.9,65.1,0,0.2,0.3,-0.2,2,31,7,5,29
100,Hakan Çalhanoğlu,TUR,MF,Inter,28,1994,8.9,83.6,2154,90.6,91.9,63.7,2,1.3,1.3,0.7,17,31,9,1,38
101,Eduardo Camavinga,FRA,"MF,DF",Real Madrid,19,2002,8.0,86.8,1717,92.8,87.6,79.5,1,0.5,0.2,0.5,6,35,0,0,24
102,Emre Can,GER,MF,Dortmund,28,1994,6.3,84.8,1170,92.5,86.8,67.7,0,0.0,0.1,0.0,0,25,1,0,19
103,João Cancelo,POR,DF,Bayern Munich,28,1994,1.4,83.6,375,91.7,88.2,42.9,1,0.5,0.0,0.5,1,3,0,0,6
104,João Cancelo,POR,DF,Manchester City,28,1994,4.2,84.6,1133,93.5,84.6,62.1,4,1.1,1.0,2.9,5,27,5,2,35
105,Nicolás Capaldo,ARG,MF,RB Salzburg,24,1997,3.0,56.6,302,65.0,61.1,33.3,0,0.1,0.1,-0.1,2,10,3,0,9
106,Valentin Carboni,ARG,FW,Inter,17,2005,0.2,50.0,0,50.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
107,Fábio Cardoso,POR,DF,Porto,28,1994,4.0,88.7,1071,87.7,95.0,65.2,0,0.1,0.1,-0.1,1,4,1,1,3
108,David Carmo,POR,DF,Porto,23,1999,5.0,77.6,910,86.4,90.5,44.9,0,0.1,0.0,-0.1,1,3,0,0,5
109,Carmona,ESP,DF,Sevilla,20,2002,5.0,86.2,1386,90.8,90.1,74.1,0,0.3,0.2,-0.3,3,13,3,1,15
110,Yannick Carrasco,BEL,"DF,MF",Atlético Madrid,28,1993,3.0,76.1,364,92.7,71.2,33.3,1,0.4,0.3,0.6,5,4,5,1,12
111,Cameron Carter-Vickers,USA,DF,Celtic,24,1997,4.0,95.3,1599,98.4,96.1,83.3,0,0.0,0.1,0.0,0,38,1,0,28
112,Dani Carvajal,ESP,DF,Real Madrid,30,1992,9.7,85.9,1825,93.7,87.8,58.6,2,1.7,2.0,0.3,11,22,12,2,35
113,Fabio Carvalho,POR,"MF,FW",Liverpool,19,2002,1.3,83.6,125,81.8,81.8,100.0,0,0.1,0.4,-0.1,2,1,3,0,7
114,Marc Casado,ESP,MF,Barcelona,18,2003,0.3,89.7,83,85.7,100.0,100.0,0,0.0,0.0,0.0,0,2,0,0,0
115,Dani Ceballos,ESP,MF,Real Madrid,25,1996,1.0,90.8,300,96.4,95.2,40.0,0,0.2,0.1,-0.2,1,5,1,0,7
116,Aleš Čermák,CZE,MF,Viktoria Plzeň,27,1994,0.4,80.0,207,84.6,90.0,80.0,0,0.0,0.0,0.0,1,5,0,0,6
117,El Chadaille Bitshiabu,FRA,DF,Paris S-G,17,2005,0.5,96.3,220,100.0,100.0,100.0,0,0.0,0.0,0.0,0,5,0,0,1
118,Trevoh Chalobah,ENG,DF,Chelsea,23,1999,4.9,90.2,1455,93.2,92.3,75.0,0,0.3,0.2,-0.3,3,15,2,0,12
119,Timothy Chandler,USA,DF,Eint Frankfurt,32,1990,0.1,83.3,50,0.0,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
120,Tjaronn Chery,SUR,"MF,FW",Maccabi Haifa,34,1988,6.0,79.7,815,87.8,82.5,50.0,1,1.9,0.9,-0.9,10,25,5,1,29
121,Federico Chiesa,ITA,FW,Juventus,24,1997,0.2,88.9,40,100.0,0.0,100.0,0,0.1,0.1,-0.1,1,0,2,0,4
122,Ben Chilwell,ENG,"DF,MF",Chelsea,25,1996,6.2,78.3,1342,93.3,74.4,44.6,0,1.6,2.2,-1.6,12,16,3,1,22
123,Chiquinho,POR,MF,Benfica,27,1995,4.5,87.5,1514,91.5,91.9,73.9,1,0.3,0.3,0.7,5,25,4,2,37
124,Tomáš Chorý,CZE,FW,Viktoria Plzeň,27,1995,4.0,58.3,73,76.9,25.0,0.0,0,0.1,0.1,-0.1,2,3,1,0,2
125,Andreas Christensen,DEN,DF,Barcelona,26,1996,2.4,94.8,1381,96.5,97.3,78.3,0,0.0,0.1,0.0,1,29,0,0,18
126,Viktor Claesson,SWE,"FW,MF",FC Copenhagen,30,1992,5.4,79.4,560,81.4,91.1,54.5,1,0.7,0.5,0.3,7,11,6,0,21
127,Jonathan Clauss,FRA,DF,Marseille,29,1992,4.6,74.5,685,80.8,81.2,61.1,1,0.3,0.7,0.7,4,11,7,1,13
128,William Clem,DEN,MF,FC Copenhagen,18,2004,1.9,89.2,366,84.8,96.9,71.4,0,0.0,0.1,0.0,0,15,1,0,8
129,Sebastián Coates,URU,DF,Sporting CP,31,1990,4.4,88.1,1001,94.8,93.6,51.9,0,0.0,0.0,0.0,0,2,0,0,9
130,Josh Cohen,USA,GK,Maccabi Haifa,29,1992,6.0,73.8,2105,100.0,97.9,46.2,0,0.0,0.0,0.0,0,3,0,0,0
131,Antonio Čolak,CRO,FW,Rangers,28,1993,3.2,64.3,30,61.9,83.3,66.7,0,0.0,0.0,0.0,0,0,0,0,1
132,Kingsley Coman,FRA,"FW,DF",Bayern Munich,26,1996,5.9,78.3,714,90.8,76.8,53.3,1,1.7,2.2,-0.7,15,13,15,6,31
133,Francisco Conceição,POR,"FW,MF",Ajax,19,2002,0.2,92.9,25,100.0,100.0,50.0,0,0.0,0.0,0.0,0,2,0,0,1
134,Rodrigo Conceição,POR,DF,Porto,22,2000,0.1,80.0,34,66.7,100.0,0.0,0,0.0,0.0,0.0,0,1,0,0,1
135,Andreas Cornelius,DEN,FW,FC Copenhagen,29,1993,1.2,60.0,40,52.2,83.3,100.0,0,0.3,0.1,-0.3,1,0,0,0,0
136,Pierre Cornud,FRA,DF,Maccabi Haifa,25,1996,4.1,79.7,922,95.7,77.8,50.0,1,0.7,0.6,0.3,8,3,6,5,14
137,Ángel Correa,ARG,"FW,MF",Atlético Madrid,27,1995,3.5,80.7,263,87.3,73.9,66.7,0,0.4,0.5,-0.4,6,4,6,1,14
138,Joaquín Correa,ARG,FW,Inter,27,1994,3.4,81.7,256,90.9,81.5,80.0,2,0.7,0.8,1.3,5,6,5,0,15
139,Bruno Xavier Almeida Costa,POR,MF,Porto,25,1997,0.8,81.8,66,87.5,87.5,50.0,0,0.1,0.2,-0.1,1,0,1,0,3
140,Diogo Costa,POR,GK,Porto,22,1999,8.0,72.6,5657,100.0,98.5,52.8,1,0.2,0.0,0.8,1,9,0,0,0
141,Soumaïla Coulibaly,FRA,DF,Dortmund,18,2003,0.2,93.3,74,100.0,100.0,0.0,0,0.0,0.0,0.0,0,2,0,0,3
