,Player,Nationality,Position,Club ,Age,Born,90s,Total Passes completion %,Progressive passing distance,Passes completed (short) %,Passes completed (medium) %,Passes completed (long) %,Assists,Expected Assist Goals (xAG),xA,A-xAG,Key Passes,Passes into Final third,Passes into Penalty Area,Crosses into Penalty Area,Progressive passes
142,Thibaut Courtois,BEL,GK,Real Madrid,30,1992,10.0,79.2,4624,100.0,100.0,49.0,0,0.0,0.0,0.0,0,2,0,0,0
143,Juan Cuadrado,COL,"DF,MF",Juventus,34,1988,4.8,83.3,1260,87.3,85.6,82.0,1,1.3,0.6,-0.3,10,11,5,4,16
144,Marc Cucurella,ESP,DF,Chelsea,24,1998,4.6,83.9,1696,93.5,82.7,53.1,0,0.2,0.2,-0.2,4,23,2,0,29
145,Matheus Cunha,BRA,"FW,MF",Atlético Madrid,23,1999,1.4,72.7,31,95.0,62.5,0.0,0,0.4,0.1,-0.4,4,2,1,0,3
146,Danilo D'Ambrosio,ITA,DF,Inter,33,1988,1.8,82.5,509,86.1,87.2,70.0,0,0.0,0.1,0.0,0,4,1,0,9
147,Danilo,BRA,DF,Juventus,31,1991,4.7,84.7,1416,90.5,91.3,63.0,0,0.6,0.2,-0.6,3,22,1,1,25
148,Arnaut Danjuma,NED,MF,Tottenham,25,1997,0.1,100.0,29,100.0,100.0,0.0,0,0.0,0.0,0.0,0,1,0,0,2
149,Mohammed Daramy,DEN,FW,FC Copenhagen,20,2002,4.9,79.9,314,86.4,89.6,60.0,0,0.5,0.6,-0.5,6,4,7,2,14
150,Matteo Darmian,ITA,DF,Inter,32,1989,9.1,80.8,2176,85.5,87.5,47.2,0,0.3,0.3,-0.3,2,16,2,2,18
151,Dean David,ISR,"FW,DF",Maccabi Haifa,26,1996,2.6,57.1,90,65.4,62.5,40.0,0,0.1,0.1,-0.1,1,0,0,0,2
152,Alphonso Davies,CAN,DF,Bayern Munich,21,2000,6.7,89.6,1269,94.1,92.6,64.3,2,0.8,0.9,1.2,10,17,8,2,18
153,Ben Davies,WAL,DF,Tottenham,29,1993,4.4,82.0,1124,91.1,80.6,52.9,0,0.0,0.1,0.0,0,24,0,0,21
154,Ben Davies,ENG,DF,Rangers,26,1995,2.9,79.6,773,98.0,87.3,34.5,0,0.0,0.0,0.0,0,9,0,0,9
155,Steven Davis,NIR,MF,Rangers,37,1985,2.8,79.8,385,91.3,82.6,62.5,0,0.0,0.0,0.0,1,16,0,0,13
156,Kevin De Bruyne,BEL,MF,Manchester City,31,1991,8.0,68.2,1583,83.2,72.3,47.0,6,3.5,2.8,2.5,22,30,24,10,49
157,Charles De Ketelaere,BEL,"MF,FW",Milan,21,2001,2.6,70.7,174,87.8,70.6,40.0,0,0.0,0.1,0.0,0,6,1,0,7
158,Rodrigo De Paul,ARG,MF,Atlético Madrid,28,1994,2.8,77.5,1012,87.0,79.6,63.4,0,0.5,0.5,-0.5,5,26,4,3,35
159,Mattia De Sciglio,ITA,DF,Juventus,29,1992,1.1,75.0,256,88.9,89.5,50.0,0,0.0,0.0,0.0,1,5,1,1,4
160,Amar Dedić,BIH,DF,RB Salzburg,19,2002,6.0,64.7,1448,85.0,56.3,35.9,0,0.5,0.5,-0.5,7,12,5,2,14
161,Thomas Delaney,DEN,MF,Sevilla,30,1991,2.6,75.9,375,87.0,75.0,60.0,0,0.2,0.1,-0.2,2,11,0,0,8
162,Ousmane Dembélé,FRA,FW,Barcelona,25,1997,4.6,68.0,873,76.9,71.6,55.3,2,1.5,1.9,0.5,11,6,15,1,26
163,Kerem Demirbay,GER,MF,Leverkusen,29,1993,3.0,76.8,1106,86.7,90.9,47.7,0,0.3,0.6,-0.3,4,27,4,3,23
164,Sergiño Dest,USA,DF,Milan,21,2000,2.1,71.1,307,83.3,76.7,50.0,0,0.2,0.2,-0.2,2,4,5,2,6
165,Giovanni Di Lorenzo,ITA,DF,Napoli,28,1993,9.9,83.9,2937,90.4,86.9,65.0,2,2.6,2.8,-0.6,19,41,20,5,57
166,Ángel Di María,ARG,FW,Juventus,34,1988,1.6,67.9,416,88.2,61.1,54.5,3,1.8,1.2,1.2,7,7,5,0,12
167,Moussa Diaby,FRA,"FW,MF",Leverkusen,23,1999,5.6,73.8,418,90.8,67.2,33.3,0,0.8,0.9,-0.8,6,8,14,2,19
168,Abdou Diallo,SEN,"DF,MF",RB Leipzig,26,1996,2.5,91.1,1351,94.4,93.5,81.8,0,0.1,0.2,-0.1,1,25,3,0,26
169,Rúben Dias,POR,DF,Manchester City,25,1997,11.7,94.7,5707,97.3,96.5,82.6,0,0.1,0.2,-0.1,2,58,0,0,40
170,Brahim Díaz,ESP,"MF,FW",Milan,22,1999,6.7,83.1,544,90.8,84.9,66.7,0,0.6,0.8,-0.6,5,21,4,1,17
171,Luis Díaz,COL,FW,Liverpool,25,1997,3.0,79.8,349,87.0,80.0,50.0,0,0.3,0.2,-0.3,3,4,7,0,13
172,Eric Dier,ENG,DF,Tottenham,28,1994,6.9,89.3,3423,91.0,95.7,70.0,0,0.0,0.4,0.0,1,21,3,0,23
173,Kevin Diks,NED,DF,FC Copenhagen,25,1996,3.7,73.9,639,82.4,79.0,52.4,0,0.1,0.1,-0.1,2,10,1,0,10
174,Federico Dimarco,ITA,DF,Inter,24,1997,8.1,68.4,2036,88.0,70.2,45.9,5,3.0,2.6,2.0,16,22,13,6,34
175,Junior Dina Ebimbe,FRA,"MF,DF",Eint Frankfurt,21,2000,2.7,78.2,378,83.0,85.4,55.6,0,0.0,0.0,0.0,0,2,1,0,11
176,Marko Dmitrović,SRB,GK,Sevilla,30,1992,2.0,67.1,740,100.0,100.0,31.4,0,0.0,0.0,0.0,0,1,0,0,0
177,Matt Doherty,IRL,DF,Tottenham,30,1992,0.8,82.9,73,94.4,83.3,100.0,0,0.0,0.0,0.0,0,1,0,0,4
178,Kasper Dolberg,DEN,FW,Sevilla,24,1997,1.2,78.9,25,81.8,100.0,50.0,0,0.2,0.1,-0.2,2,0,2,0,2
179,Gianluigi Donnarumma,ITA,GK,Paris S-G,23,1999,8.0,82.8,2365,100.0,99.0,40.0,0,0.0,0.0,0.0,0,0,0,0,0
180,Julian Draxler,GER,MF,Benfica,28,1993,0.4,86.7,71,80.0,100.0,100.0,0,0.0,0.1,0.0,0,1,0,0,3
181,Josip Drmić,SUI,FW,Dinamo Zagreb,29,1992,1.1,68.2,28,69.2,71.4,0.0,0,0.3,0.0,-0.3,2,1,0,0,1
182,Denzel Dumfries,NED,DF,Inter,26,1996,9.8,65.5,1449,83.6,63.9,48.8,0,0.4,0.4,-0.4,3,13,4,0,15
183,Edin Džeko,BIH,FW,Inter,36,1986,9.2,62.8,609,69.7,65.1,73.3,1,0.9,0.5,0.1,9,13,4,0,26
184,Ederson,BRA,GK,Manchester City,28,1993,11.0,84.1,4883,100.0,99.4,59.5,0,0.0,0.0,0.0,0,2,0,0,0
185,Jorge Eduardo Sánchez,MEX,DF,Ajax,24,1997,3.0,84.6,485,93.8,82.8,66.7,0,0.2,0.2,-0.2,2,3,2,2,3
186,Marcus Edwards,ENG,"FW,MF",Sporting CP,23,1998,3.9,75.2,370,87.7,67.6,50.0,1,0.6,0.5,0.4,6,10,4,0,16
187,Hugo Ekitike,FRA,"MF,FW",Paris S-G,20,2002,0.7,78.6,22,85.7,80.0,0.0,0,0.0,0.1,0.0,0,0,1,0,1
188,Harvey Elliott,ENG,MF,Liverpool,19,2003,4.4,79.5,675,88.4,83.1,55.0,0,0.3,0.4,-0.3,5,15,11,1,28
189,Elif Elmas,MKD,"FW,MF",Napoli,22,1999,3.2,90.3,315,92.2,90.9,80.0,0,0.2,0.2,-0.2,4,9,1,0,9
190,Emerson,BRA,"DF,MF",Tottenham,23,1999,6.0,77.0,1157,86.2,78.6,63.3,0,0.3,0.5,-0.3,4,14,6,2,24
191,Youssef En-Nesyri,MAR,FW,Sevilla,25,1997,2.7,67.9,21,82.4,57.1,0.0,0,0.0,0.0,0.0,1,1,1,0,1
192,Ricardo Esgaio,POR,"DF,MF",Sporting CP,29,1993,1.2,69.4,229,87.0,57.1,50.0,0,0.0,0.0,0.0,1,2,0,0,3
193,Dario Essugo,POR,MF,Sporting CP,17,2005,0.3,70.0,34,50.0,85.7,0.0,0,0.0,0.0,0.0,0,0,0,0,1
194,Stephen Eustáquio,CAN,MF,Porto,25,1996,6.6,71.6,1058,82.0,80.6,36.0,0,0.6,1.1,-0.6,5,16,5,2,25
195,Evanilson,BRA,FW,Porto,22,1999,5.7,81.3,206,90.1,71.4,66.7,1,1.0,0.2,0.0,6,6,1,0,8
196,Fabinho,BRA,MF,Liverpool,28,1993,7.0,88.0,1579,92.0,91.5,67.5,0,0.2,0.3,-0.2,5,48,1,0,35
197,Nicolò Fagioli,ITA,MF,Juventus,21,2001,1.2,95.7,308,93.5,100.0,100.0,0,0.2,0.1,-0.2,3,12,3,0,16
198,Rasmus Falk,DEN,MF,FC Copenhagen,30,1992,2.1,88.1,207,95.0,88.9,75.0,0,0.0,0.0,0.0,1,7,0,0,7
199,Abdul Fatawu Issahaku,GHA,"MF,DF",Sporting CP,18,2004,1.0,74.1,56,78.6,72.7,50.0,0,0.0,0.0,0.0,0,1,0,0,0
200,Ansu Fati,ESP,FW,Barcelona,19,2002,2.7,85.7,201,92.9,76.0,75.0,1,0.1,0.1,0.9,1,5,3,0,9
201,Felipe,BRA,DF,Atlético Madrid,33,1989,1.0,85.2,303,85.0,86.7,75.0,0,0.1,0.0,-0.1,2,1,0,0,2
202,João Félix,POR,"FW,MF",Chelsea,22,1999,2.7,69.8,310,86.7,76.9,35.3,0,0.3,0.4,-0.3,2,5,3,0,12
203,João Félix,POR,FW,Atlético Madrid,22,1999,2.4,80.4,215,91.5,62.5,83.3,0,0.2,0.3,-0.2,4,5,4,2,8
204,Mateus Fernandes,POR,MF,Sporting CP,18,2004,0.3,44.4,1,0.0,60.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
205,Enzo Fernández,ARG,MF,Benfica,21,2001,4.7,89.0,1506,92.4,90.4,80.7,1,0.3,0.5,0.7,3,34,3,1,32
206,Enzo Fernández,ARG,MF,Chelsea,21,2001,3.7,84.0,1454,85.4,88.4,82.1,0,0.2,0.3,-0.2,3,35,5,0,37
207,Fernando,BRA,FW,RB Salzburg,23,1999,0.7,90.0,9,83.3,100.0,100.0,1,0.3,0.0,0.7,2,0,1,0,2
208,Fernando,BRA,MF,Sevilla,35,1987,1.0,95.8,403,100.0,93.5,100.0,0,0.0,0.0,0.0,1,8,0,0,7
209,Roberto Firmino,BRA,"FW,MF",Liverpool,30,1991,4.6,80.8,663,87.6,89.1,100.0,1,1.6,1.7,-0.6,10,20,6,0,30
210,Phil Foden,ENG,"MF,FW",Manchester City,22,2000,4.3,81.9,625,91.5,83.3,60.9,2,1.3,1.0,0.7,9,12,11,2,22
211,Wesley Fofana,FRA,DF,Chelsea,21,2000,4.4,89.7,992,93.2,92.8,78.6,0,0.2,0.3,-0.2,2,17,3,1,11
212,Bernardo Folha,POR,MF,Porto,20,2002,0.1,80.0,28,83.3,66.7,100.0,0,0.0,0.0,0.0,0,1,0,0,1
213,James Forrest,SCO,FW,Celtic,31,1991,1.0,69.1,137,83.9,61.1,25.0,0,0.5,0.3,-0.5,2,1,2,1,2
214,Emil Forsberg,SWE,"MF,FW",RB Leipzig,30,1991,4.5,88.0,486,93.3,86.7,71.4,0,0.3,0.6,-0.3,4,12,7,0,19
215,Fraser Forster,ENG,GK,Tottenham,34,1988,2.0,85.5,666,100.0,100.0,55.6,0,0.0,0.0,0.0,0,0,0,0,0
216,Timothy Fosu-Mensah,NED,"MF,DF",Leverkusen,24,1998,0.1,80.0,3,66.7,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
217,Lassina Franck Traoré,BFA,FW,Shakhtar,21,2001,2.7,71.4,103,80.0,75.0,50.0,0,0.5,0.2,-0.5,2,2,1,0,3
218,André Franco,POR,MF,Porto,24,1998,0.2,63.2,43,100.0,63.6,0.0,0,0.0,0.0,0.0,1,2,0,0,3
219,Jeremie Frimpong,NED,"MF,FW",Leverkusen,21,2000,4.2,74.5,386,88.3,73.5,41.7,2,0.8,0.5,1.2,5,7,5,1,10
220,Kyogo Furuhashi,JPN,FW,Celtic,27,1995,4.0,69.1,82,76.7,73.3,25.0,1,0.4,0.4,0.6,2,4,1,0,4
221,Matteo Gabbia,ITA,DF,Milan,22,1999,2.3,88.7,494,90.6,91.2,76.5,0,0.0,0.0,0.0,0,3,0,0,7
222,Gianluca Gaetano,ITA,MF,Napoli,22,2000,0.3,88.9,128,90.5,85.7,0.0,0,0.0,0.0,0.0,0,3,0,0,4
223,Roberto Gagliardini,ITA,MF,Inter,28,1994,1.3,84.3,215,85.7,100.0,66.7,0,0.2,0.1,-0.2,1,5,2,0,7
224,Cody Gakpo,NED,"FW,MF",Liverpool,23,1999,1.7,77.8,186,84.6,80.0,50.0,0,0.2,0.1,-0.2,2,3,3,0,9
225,Galeno,BRA,"FW,MF",Porto,24,1997,6.3,68.2,413,84.5,72.3,40.0,1,0.8,1.1,0.2,9,6,6,3,10
226,Conor Gallagher,ENG,MF,Chelsea,22,2000,3.3,86.0,423,88.9,91.7,66.7,0,0.7,1.2,-0.7,6,8,6,3,18
227,Eric García,ESP,DF,Barcelona,21,2001,2.5,96.3,1292,98.2,97.2,85.0,0,0.1,0.3,-0.1,1,26,4,2,25
228,Federico Gatti,ITA,DF,Juventus,24,1998,2.0,91.0,409,95.0,88.9,90.0,0,0.0,0.0,0.0,0,6,0,0,2
229,Gavi,ESP,MF,Barcelona,17,2004,3.7,83.9,424,90.6,88.0,50.0,0,0.7,0.5,-0.7,6,13,4,2,15
230,Gerson,BRA,MF,Marseille,25,1997,1.3,82.5,145,93.5,95.0,28.6,0,0.0,0.0,0.0,0,4,0,0,5
231,Giorgos Giakoumakis,GRE,FW,Celtic,27,1994,2.7,61.8,61,61.9,85.7,0.0,0,0.4,0.2,-0.4,4,0,1,0,2
232,Samuel Gigot,FRA,DF,Marseille,28,1993,2.8,91.8,790,94.5,96.8,64.7,0,0.0,0.0,0.0,0,16,0,0,11
233,Bryan Gil,ESP,MF,Tottenham,21,2001,0.4,65.0,60,81.8,75.0,33.3,0,0.2,0.1,-0.2,2,3,1,0,3
234,Gilberto,BRA,DF,Benfica,29,1993,2.2,81.4,661,91.8,77.5,40.0,0,0.0,0.1,0.0,0,12,3,0,16
235,Olivier Giroud,FRA,FW,Milan,35,1986,10.4,63.8,402,69.2,60.9,42.9,2,1.0,0.9,1.0,9,13,1,0,17
236,Serge Gnabry,GER,"FW,MF",Bayern Munich,27,1995,3.8,81.3,465,86.6,84.8,53.3,3,1.2,0.4,1.8,4,14,1,0,9
237,Sean Goldberg,ISR,DF,Maccabi Haifa,27,1995,6.0,85.3,1477,89.8,93.1,61.4,0,0.1,0.1,-0.1,4,11,1,0,15
238,Connor Goldson,ENG,DF,Rangers,29,1992,3.5,75.7,710,82.9,92.6,47.4,0,0.1,0.0,-0.1,1,7,0,0,3
239,Joe Gomez,ENG,DF,Liverpool,25,1997,3.3,79.4,1213,85.5,87.9,50.0,1,0.3,0.3,0.7,2,15,1,1,18
240,Papu Gómez,ARG,"FW,MF",Sevilla,34,1988,2.7,81.6,493,84.7,87.8,76.5,1,0.3,0.9,0.7,5,9,4,0,16
241,Sergio Gómez,ESP,"DF,MF",Manchester City,21,2000,3.4,88.4,965,96.6,88.2,58.3,1,0.3,0.3,0.7,3,36,4,2,30
242,Diogo Gonçalves,POR,"FW,MF",Benfica,25,1997,0.4,73.7,53,91.7,66.7,33.3,0,0.0,0.1,0.0,0,0,2,0,3
243,Pedro Gonçalves,POR,"MF,FW",Sporting CP,24,1998,4.0,72.4,401,84.5,71.4,53.8,2,0.3,0.3,1.7,5,7,3,0,11
244,Leon Goretzka,GER,MF,Bayern Munich,27,1995,6.7,87.3,1295,93.2,87.2,66.7,4,1.8,0.7,2.2,9,37,3,0,44
245,Robin Gosens,GER,DF,Inter,28,1994,4.7,78.8,1185,87.4,81.1,64.5,0,1.1,1.3,-1.1,5,9,5,4,15
246,Mario Götze,GER,"MF,FW",Eint Frankfurt,30,1992,5.8,75.0,693,85.2,68.1,42.1,2,0.6,0.6,1.4,6,15,5,0,29
247,Lucas Gourna-Douath,FRA,MF,RB Salzburg,18,2003,3.5,76.6,765,89.2,72.9,52.0,0,0.1,0.1,-0.1,1,13,4,0,19
248,Kamil Grabara,POL,GK,FC Copenhagen,23,1999,4.0,63.7,1650,100.0,100.0,41.3,0,0.0,0.0,0.0,0,1,0,0,0
249,Ryan Gravenberch,NED,MF,Bayern Munich,20,2002,2.8,82.5,538,88.5,86.4,71.4,0,0.6,0.6,-0.6,5,13,3,0,15
250,Ivo Grbić,CRO,GK,Atlético Madrid,26,1996,1.0,66.7,422,100.0,100.0,33.3,0,0.0,0.0,0.0,0,2,0,0,0
251,Jack Grealish,ENG,FW,Manchester City,26,1995,10.4,85.1,1144,93.6,89.2,62.5,1,2.9,2.6,-1.9,35,12,20,1,41
252,Antoine Griezmann,FRA,"FW,MF",Atlético Madrid,31,1991,4.5,77.6,699,90.8,72.8,52.9,1,1.2,0.8,-0.2,9,15,7,1,26
253,Florian Grillitsch,AUT,MF,Ajax,26,1995,0.7,82.9,183,93.8,93.8,50.0,0,0.0,0.1,0.0,1,2,2,1,3
254,Álex Grimaldo,ESP,DF,Benfica,26,1995,10.0,84.0,2281,91.6,85.7,66.0,4,3.2,2.5,0.8,19,46,16,1,50
255,Marko Grujić,SRB,MF,Porto,26,1996,3.1,85.5,600,95.2,88.7,72.7,0,0.2,0.2,-0.2,4,10,4,0,19
256,Nemanja Gudelj,SRB,"DF,MF",Sevilla,30,1991,5.5,90.2,1609,90.2,94.8,80.0,0,0.1,0.1,-0.1,2,17,1,0,17
257,Gonçalo Guedes,POR,"FW,MF",Benfica,25,1996,0.5,68.4,47,70.0,60.0,100.0,0,0.0,0.0,0.0,1,2,0,0,2
258,Mattéo Guendouzi,FRA,MF,Marseille,23,1999,4.6,86.8,871,92.1,88.2,71.4,0,0.3,0.2,-0.3,5,28,5,1,36
259,Raphaël Guerreiro,POR,DF,Dortmund,28,1993,5.3,81.4,1482,88.5,77.0,58.3,0,1.1,0.4,-1.1,8,9,5,0,22
260,Pape Gueye,SEN,MF,Marseille,23,1999,0.4,92.2,213,93.3,88.5,100.0,0,0.0,0.0,0.0,0,16,0,0,10
261,Péter Gulácsi,HUN,GK,RB Leipzig,32,1990,2.1,79.7,497,92.3,100.0,42.1,0,0.0,0.0,0.0,0,0,0,0,0
262,İlkay Gündoğan,GER,MF,Manchester City,31,1990,11.0,89.0,2084,92.8,93.7,80.0,2,1.7,1.3,0.3,14,62,11,0,76
263,Joško Gvardiol,CRO,DF,RB Leipzig,20,2002,6.0,88.9,3104,95.5,95.3,63.9,0,0.2,0.1,-0.2,2,22,1,0,18
264,Erling Haaland,NOR,FW,Manchester City,22,2000,9.3,74.0,229,87.0,76.5,66.7,1,0.8,0.5,0.2,7,4,3,0,12
265,Amadou Haidara,MLI,MF,RB Leipzig,24,1998,3.8,90.6,865,95.7,91.5,61.5,0,0.5,0.4,-0.5,2,17,1,0,16
266,Achraf Hakimi,MAR,"DF,MF",Paris S-G,23,1998,6.4,87.8,1137,91.5,90.7,69.2,2,0.4,0.3,1.6,3,14,7,1,19
267,Sead Haksabanović,MNE,"MF,FW",Celtic,23,1999,2.5,72.9,437,90.7,65.2,58.3,0,0.6,0.8,-0.6,8,6,6,2,12
268,Sébastien Haller,CIV,FW,Dortmund,28,1994,1.6,68.0,32,81.5,60.0,100.0,0,0.0,0.0,0.0,1,1,0,0,0
269,Marcel Halstenberg,GER,DF,RB Leipzig,30,1991,1.9,84.5,425,95.7,89.8,50.0,1,0.3,0.4,0.7,3,7,3,3,3
270,Amine Harit,MAR,MF,Marseille,25,1997,4.2,84.2,644,91.8,85.1,65.4,2,1.5,0.8,0.5,13,20,7,1,24
271,Joe Hart,ENG,GK,Celtic,35,1987,6.0,93.1,2064,100.0,99.1,65.6,0,0.0,0.0,0.0,0,0,0,0,0
272,Makoto Hasebe,JPN,DF,Eint Frankfurt,38,1984,2.9,81.7,770,100.0,85.7,48.4,0,0.0,0.0,0.0,0,4,1,0,8
273,Reo Hatate,JPN,MF,Celtic,24,1997,5.0,77.7,1045,80.4,86.1,66.7,0,0.4,0.4,-0.4,7,16,9,1,31
274,Milan Havel,CZE,DF,Viktoria Plzeň,27,1994,4.7,72.4,639,90.9,72.3,31.6,0,0.1,0.2,-0.1,3,9,6,3,8
275,Kai Havertz,GER,"FW,MF",Chelsea,23,1999,6.9,76.9,644,81.9,72.4,72.7,0,1.9,1.0,-1.9,12,13,6,1,27
276,Eden Hazard,BEL,"FW,MF",Real Madrid,31,1991,1.5,87.9,138,92.7,88.9,100.0,1,0.3,0.2,0.7,5,2,3,0,4
277,Thorgan Hazard,BEL,"DF,FW",Dortmund,29,1993,2.2,76.5,287,90.5,87.1,35.7,0,0.3,0.1,-0.3,5,2,1,0,7
278,Dolev Haziz,ISR,DF,Maccabi Haifa,27,1995,2.3,72.1,461,90.5,69.6,47.1,1,0.3,0.5,0.7,3,6,4,2,7
279,Lukáš Hejda,CZE,DF,Viktoria Plzeň,32,1990,5.7,86.9,823,85.7,92.5,83.3,0,0.0,0.2,0.0,0,8,0,0,1
280,Jordan Henderson,ENG,MF,Liverpool,32,1990,3.1,87.3,744,93.5,89.0,72.7,1,0.6,0.6,0.4,6,19,5,0,25
281,Jack Hendry,SCO,DF,Club Brugge,27,1995,1.0,78.6,242,70.0,91.7,40.0,0,0.0,0.0,0.0,1,3,0,0,2
282,Benjamin Henrichs,GER,"DF,MF",RB Leipzig,25,1997,2.2,80.9,424,86.4,82.4,81.8,0,0.0,0.5,0.0,1,12,3,1,10
283,Mario Hermoso,ESP,DF,Atlético Madrid,27,1995,1.8,90.8,820,97.2,90.4,72.7,0,0.1,0.2,-0.1,1,13,2,0,14
284,Lucas Hernández,FRA,DF,Bayern Munich,26,1996,1.9,87.4,879,96.2,93.3,60.0,0,0.0,0.0,0.0,0,15,0,0,8
285,Theo Hernández,FRA,DF,Milan,24,1997,10.5,83.5,2623,93.5,89.2,59.0,1,1.6,1.2,-0.6,12,33,7,2,46
286,Son Heung-min,KOR,"MF,FW",Tottenham,30,1992,6.9,67.2,477,87.0,67.3,19.0,0,1.5,1.2,-1.5,11,4,6,0,15
287,Piero Hincapié,ECU,DF,Leverkusen,20,2002,5.0,81.5,1457,88.8,86.0,55.9,0,0.3,0.3,-0.3,3,18,1,0,19
