,Player,Nationality,Position,Club ,Age,Born,90s,Total Passes completion %,Progressive passing distance,Passes completed (short) %,Passes completed (medium) %,Passes completed (long) %,Assists,Expected Assist Goals (xAG),xA,A-xAG,Key Passes,Passes into Final third,Passes into Penalty Area,Crosses into Penalty Area,Progressive passes
581,Marcel Sabitzer,AUT,MF,Bayern Munich,28,1994,3.1,85.9,461,85.7,90.4,75.0,0,0.1,0.1,-0.1,3,7,2,0,16
582,Alexis Saelemaekers,BEL,"FW,DF",Milan,23,1999,4.1,70.2,327,75.0,79.2,33.3,0,0.3,0.4,-0.3,7,3,5,3,9
583,Fashion Sakala,ZAM,"FW,MF",Rangers,25,1997,2.6,69.2,119,88.5,71.4,50.0,0,0.1,0.1,-0.1,3,3,1,1,4
584,Mohamed Salah,EGY,FW,Liverpool,30,1992,6.9,81.6,622,90.0,79.7,53.8,2,2.5,1.9,-0.5,13,8,15,0,25
585,Renato Sanches,POR,MF,Paris S-G,24,1997,1.6,96.2,421,98.4,100.0,85.7,0,0.0,0.0,0.0,0,8,0,0,5
586,Alexis Sánchez,CHI,FW,Marseille,33,1988,4.6,81.2,212,88.0,74.2,80.0,1,0.8,0.6,0.2,6,12,5,1,9
587,Davinson Sánchez,COL,DF,Tottenham,26,1996,0.2,57.9,62,66.7,70.0,0.0,0,0.0,0.0,0.0,0,1,0,0,0
588,Cisse Sandra,BEL,FW,Club Brugge,18,2003,0.1,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
589,Alex Sandro,BRA,DF,Juventus,31,1991,2.7,89.3,909,97.6,85.7,79.2,0,0.0,0.1,0.0,0,22,1,1,23
590,James Sands,USA,"DF,MF",Rangers,22,2000,3.6,84.1,791,87.7,91.5,67.9,0,0.0,0.0,0.0,0,6,0,0,10
591,Leroy Sané,GER,"FW,MF",Bayern Munich,26,1996,6.1,83.3,758,87.8,84.9,62.5,1,1.9,1.8,-0.9,17,13,17,0,33
592,Nuno Santos,POR,"DF,MF",Sporting CP,27,1995,3.3,84.1,366,91.0,86.2,70.0,0,0.3,0.3,-0.3,5,3,2,1,5
593,Zaidu Sanusi,NGA,DF,Porto,25,1997,6.5,72.5,1297,86.7,75.0,32.5,0,0.0,0.3,0.0,2,13,3,1,16
594,Alvaro Sanz,ESP,MF,Barcelona,21,2001,0.2,83.3,23,100.0,50.0,100.0,0,0.0,0.0,0.0,0,0,0,0,0
595,Pablo Sarabia,ESP,MF,Paris S-G,30,1992,1.0,65.4,77,87.5,55.6,50.0,0,0.1,0.1,-0.1,1,3,0,0,0
596,Stefan Savić,MNE,DF,Atlético Madrid,31,1991,3.0,89.3,1251,100.0,93.1,64.5,0,0.1,0.1,-0.1,3,17,2,1,14
597,Patrik Schick,CZE,FW,Leverkusen,26,1996,5.0,78.7,256,80.0,86.4,83.3,0,0.1,0.1,-0.1,2,11,1,0,9
598,Andreas Schjelderup,NOR,FW,Benfica,18,2004,0.0,100.0,22,100.0,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,1
599,Xaver Schlager,AUT,MF,RB Leipzig,24,1997,6.5,88.5,1648,91.6,89.4,82.9,0,0.1,0.4,-0.1,2,42,5,0,34
600,Nico Schlotterbeck,GER,DF,Dortmund,22,1999,6.2,86.9,2112,91.7,94.0,55.2,0,0.2,0.1,-0.2,3,20,1,0,26
601,Abdoulaye Seck,SEN,DF,Maccabi Haifa,30,1992,4.4,84.0,1048,88.2,92.5,42.1,0,0.0,0.0,0.0,0,5,0,0,8
602,Nicolas Seiwald,AUT,MF,RB Salzburg,21,2001,6.0,73.5,1172,77.7,81.3,57.9,0,0.6,0.5,-0.6,6,18,2,0,26
603,Benjamin Šeško,SVN,FW,RB Salzburg,19,2003,3.7,60.2,87,66.7,61.5,60.0,0,0.1,0.4,-0.1,3,2,2,0,5
604,Ryan Sessegnon,ENG,"MF,DF",Tottenham,22,2000,1.7,68.8,175,89.5,63.2,33.3,0,0.3,0.4,-0.3,3,2,1,0,3
605,Maryan Shved,UKR,MF,Shakhtar,25,1997,2.1,68.6,131,70.4,78.9,0.0,0,0.0,0.0,0.0,0,2,1,0,4
606,Danylo Sikan,UKR,FW,Shakhtar,21,2001,1.2,88.9,37,90.0,100.0,0.0,1,0.1,0.3,0.9,2,0,0,0,0
607,André Silva,POR,FW,RB Leipzig,26,1995,5.9,78.2,361,84.8,75.5,75.0,3,0.6,0.8,2.4,6,6,6,0,20
608,António Silva,POR,DF,Benfica,18,2003,9.9,92.0,3748,96.2,96.6,77.7,0,0.1,0.1,-0.1,1,31,0,0,30
609,Bernardo Silva,POR,"FW,MF",Manchester City,27,1994,10.1,88.3,1814,92.8,91.5,80.4,1,1.4,1.7,-0.4,20,43,14,4,56
610,Rafa Silva,POR,MF,Benfica,29,1993,9.1,83.0,664,86.8,83.5,93.8,2,1.1,1.3,0.9,14,13,16,2,36
611,Thiago Silva,BRA,DF,Chelsea,37,1984,7.1,89.6,3282,89.9,95.9,75.6,0,0.0,0.1,0.0,0,23,2,0,19
612,Mohamed Simakan,FRA,DF,RB Leipzig,22,2000,5.7,76.9,1377,86.0,79.3,53.5,3,1.8,1.7,1.2,7,16,6,3,24
613,Giovanni Simeone,ARG,FW,Napoli,27,1995,2.9,71.6,78,78.9,66.7,50.0,0,0.5,0.6,-0.5,4,1,1,0,3
614,Roko Simic,CRO,FW,RB Salzburg,18,2003,0.2,60.0,1,50.0,100.0,0.0,0,0.0,0.1,0.0,0,0,0,0,0
615,Oliver Skipp,ENG,MF,Tottenham,21,2000,2.3,87.8,548,96.4,82.4,63.6,0,0.1,0.1,-0.1,2,12,3,1,14
616,Leo Skiri Østigård,NOR,DF,Napoli,22,1999,2.2,88.3,1131,97.5,89.5,54.2,0,0.0,0.1,0.0,1,11,0,0,11
617,Andreas Skov Olsen,DEN,"FW,MF",Club Brugge,22,1999,3.3,68.7,440,80.4,69.2,55.0,1,0.7,0.5,0.3,8,4,5,2,5
618,Milan Škriniar,SVK,DF,Inter,27,1995,6.0,91.3,1678,95.3,92.8,82.1,0,0.3,0.1,-0.3,4,21,1,0,17
619,Hrvoje Smolčić,CRO,DF,Eint Frankfurt,21,2000,1.4,74.5,317,63.6,80.8,76.9,0,0.0,0.0,0.0,0,1,0,0,3
620,Eduard Sobol,UKR,"FW,DF",Club Brugge,27,1995,1.2,72.9,347,84.0,71.4,50.0,0,0.0,0.0,0.0,1,3,2,1,6
621,Carlos Soler,ESP,MF,Paris S-G,25,1997,1.7,88.6,242,82.9,92.3,100.0,0,0.2,0.1,-0.2,3,9,1,1,6
622,Oumar Solet,FRA,DF,RB Salzburg,22,2000,3.0,86.4,988,89.5,93.8,63.0,0,0.1,0.1,-0.1,1,4,0,0,4
623,Yann Sommer,SUI,GK,Bayern Munich,33,1988,4.0,85.5,1774,100.0,97.4,60.9,0,0.0,0.0,0.0,0,0,0,0,0
624,Matìas Soulé,ARG,"MF,FW",Juventus,19,2003,0.5,94.4,42,88.9,100.0,100.0,0,0.1,0.0,-0.1,1,1,0,0,2
625,Djibril Sow,SUI,MF,Eint Frankfurt,25,1997,8.0,84.5,1940,89.4,88.3,66.7,0,0.6,0.7,-0.6,9,43,5,1,49
626,Kamal Sowah,GHA,"FW,MF",Club Brugge,22,2000,6.6,75.1,704,84.4,72.5,68.8,0,0.3,0.4,-0.3,6,11,4,0,20
627,Dario Špikić,CRO,"FW,DF",Dinamo Zagreb,23,1999,1.9,80.4,217,88.9,84.2,57.1,0,0.3,0.4,-0.3,1,2,2,1,9
628,Jorne Spileers,BEL,DF,Club Brugge,17,2005,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
629,Jerry St. Juste,NED,DF,Sporting CP,25,1996,2.1,88.0,703,97.4,91.8,53.3,0,0.1,0.0,-0.1,1,1,0,0,2
630,Marko Stamenic,NZL,MF,FC Copenhagen,20,2002,3.0,76.0,294,82.6,86.1,50.0,0,0.0,0.0,0.0,0,6,0,0,7
631,Jindřich Staněk,CZE,GK,Viktoria Plzeň,26,1996,5.0,65.2,3089,100.0,97.4,49.5,0,0.0,0.0,0.0,0,5,0,0,0
632,Josip Stanišić,CRO,DF,Bayern Munich,22,2000,3.9,91.6,1449,94.2,95.0,66.7,0,0.1,0.2,-0.1,5,20,2,1,26
633,Carl Starfelt,SWE,DF,Celtic,27,1995,1.0,96.3,354,96.2,100.0,87.5,0,0.0,0.0,0.0,0,3,0,0,0
634,Orri Steinn Óskarsson,ISL,"MF,FW",FC Copenhagen,17,2004,0.2,50.0,4,100.0,0.0,0.0,0,0.0,0.1,0.0,0,0,0,0,0
635,Taras Stepanenko,UKR,MF,Shakhtar,32,1989,5.9,86.6,1171,97.1,86.2,66.7,0,0.1,0.1,-0.1,2,15,0,0,16
636,Raheem Sterling,ENG,"FW,MF",Chelsea,27,1994,7.0,78.1,723,88.5,77.8,35.7,1,0.6,0.9,0.4,7,12,10,0,36
637,John Stones,ENG,"MF,DF",Manchester City,28,1994,7.6,90.0,1439,95.4,91.8,76.3,1,0.8,0.8,0.2,6,38,6,2,36
638,Luka Sučić,CRO,MF,RB Salzburg,19,2002,4.4,75.9,612,84.9,77.5,47.4,0,0.6,0.7,-0.6,7,13,6,1,22
639,Heorhii Sudakov,UKR,MF,Shakhtar,19,2002,5.3,87.9,1194,92.1,86.7,82.1,2,0.8,0.6,1.2,6,22,4,0,22
640,Niklas Süle,GER,DF,Dortmund,26,1995,7.5,90.0,2553,94.9,92.9,79.1,0,0.1,0.2,-0.1,1,31,2,0,32
641,Daniel Sundgren,SWE,DF,Maccabi Haifa,31,1990,3.6,82.2,1331,89.8,81.3,81.0,0,0.0,0.2,0.0,1,18,3,0,17
642,Suso,ESP,"FW,MF",Sevilla,28,1993,2.6,82.0,318,87.3,87.1,71.4,0,0.2,0.2,-0.2,3,6,3,1,14
643,Josip Šutalo,CRO,DF,Dinamo Zagreb,22,2000,6.0,86.8,1649,94.8,92.7,58.7,0,0.0,0.0,0.0,0,3,0,0,7
644,Jan Sýkora,CZE,"FW,DF",Viktoria Plzeň,28,1993,1.6,75.0,54,88.9,85.7,0.0,0,0.0,0.0,0.0,1,2,0,0,2
645,Abakar Sylla,CIV,DF,Club Brugge,19,2002,5.5,88.0,1728,94.4,94.4,56.0,0,0.0,0.0,0.0,1,9,0,0,14
646,Wojciech Szczęsny,POL,GK,Juventus,32,1990,4.0,86.4,1422,100.0,100.0,61.1,0,0.0,0.0,0.0,0,1,0,0,0
647,Dominik Szoboszlai,HUN,FW,RB Leipzig,21,2000,7.3,80.5,1190,88.8,81.8,62.2,2,1.6,0.9,0.4,12,16,10,1,38
648,Christian Sørensen,DEN,"DF,MF",FC Copenhagen,29,1992,1.1,71.2,411,82.4,75.0,55.6,0,0.3,0.3,-0.3,4,3,1,1,6
649,Dušan Tadić,SRB,FW,Ajax,33,1988,4.8,77.4,769,81.5,88.1,47.1,1,1.6,1.6,-0.6,10,10,16,4,26
650,Jonathan Tah,GER,DF,Leverkusen,26,1996,5.3,90.6,1881,94.2,94.5,68.4,0,0.2,0.3,-0.2,3,17,0,0,17
651,Japhet Tanganga,ENG,DF,Tottenham,23,1999,0.2,88.9,70,85.7,100.0,100.0,0,0.0,0.0,0.0,0,3,0,0,1
652,Edmond Tapsoba,BFA,DF,Leverkusen,23,1999,3.9,91.1,2031,91.3,95.5,79.1,0,0.3,0.4,-0.3,2,14,1,0,20
653,Mehdi Taremi,IRN,FW,Porto,30,1992,6.8,72.9,449,82.7,72.1,66.7,2,3.3,2.1,-1.3,14,10,8,1,19
654,Ciprian Tătărușanu,ROU,GK,Milan,36,1986,5.0,78.6,2722,95.0,97.1,60.0,0,0.0,0.0,0.0,0,2,0,0,0
655,Nuno Tavares,POR,DF,Marseille,22,2000,6.0,77.9,1101,89.4,77.2,44.8,0,0.2,0.3,-0.2,3,19,6,1,27
656,James Tavernier,ENG,DF,Rangers,30,1991,5.4,67.8,1193,81.0,70.1,43.5,0,1.0,1.0,-1.0,6,14,6,4,18
657,Greg Taylor,SCO,DF,Celtic,24,1997,6.0,84.7,2023,90.1,92.5,43.3,0,0.7,0.7,-0.7,9,33,5,1,42
658,Kenneth Taylor,NED,MF,Ajax,20,2002,4.6,85.4,942,89.6,88.1,44.4,1,1.4,0.8,-0.4,3,18,7,0,28
659,Lucas Taylor,BRA,DF,Shakhtar,27,1995,3.5,77.9,337,87.5,82.6,50.0,0,0.0,0.0,0.0,0,4,0,0,5
660,Mavis Tchibota,CGO,FW,Maccabi Haifa,26,1996,1.0,55.6,81,90.9,30.0,50.0,0,0.0,0.1,0.0,1,1,1,0,2
661,Aurélien Tchouaméni,FRA,MF,Real Madrid,22,2000,4.8,93.1,1720,94.4,94.2,88.5,0,0.0,0.2,0.0,0,36,2,0,37
662,Mathys Tel,FRA,FW,Bayern Munich,17,2005,1.6,76.1,60,81.8,68.4,100.0,0,0.1,0.0,-0.1,2,1,0,0,1
663,Alex Telles,BRA,"DF,FW",Sevilla,29,1992,4.3,74.8,838,84.6,82.7,32.1,1,0.3,0.4,0.7,5,7,2,2,7
664,Marc-André ter Stegen,GER,GK,Barcelona,30,1992,5.0,92.0,2529,97.1,100.0,81.3,0,0.0,0.0,0.0,0,0,0,0,0
665,Kévin Théophile-Catherine,FRA,DF,Dinamo Zagreb,32,1989,0.8,74.4,256,87.5,76.0,57.1,0,0.0,0.0,0.0,0,3,0,0,1
666,Malick Thiaw,GER,DF,Milan,20,2001,3.1,84.8,974,85.4,94.3,72.2,0,0.1,0.0,-0.1,1,4,0,0,7
667,Mohamed Tijani,BEN,DF,Viktoria Plzeň,25,1997,1.9,77.5,597,93.3,87.9,52.4,0,0.1,0.0,-0.1,2,3,0,0,3
668,Malik Tillman,USA,MF,Rangers,20,2002,2.7,70.2,86,80.6,76.9,0.0,0,0.0,0.0,0.0,1,1,0,0,3
669,Jurriën Timber,NED,DF,Ajax,21,2001,5.9,93.6,2200,96.4,94.9,72.0,0,0.0,0.1,0.0,2,34,2,0,31
670,Fikayo Tomori,ENG,DF,Milan,24,1997,9.2,86.0,2899,89.4,93.6,71.7,0,0.4,0.2,-0.4,3,17,5,0,27
671,Sandro Tonali,ITA,MF,Milan,22,2000,11.7,73.0,2219,85.1,80.4,49.5,2,2.9,1.9,-0.9,22,25,7,2,40
672,Pablo Torre,ESP,"MF,FW",Barcelona,19,2003,1.1,89.7,184,93.5,83.3,83.3,0,0.0,0.0,0.0,1,12,1,0,10
673,Ferrán Torres,ESP,"FW,MF",Barcelona,22,2000,2.1,84.6,121,91.3,94.4,60.0,1,0.3,0.1,0.7,3,3,2,0,4
674,Andriy Totovytskyi,UKR,MF,Shakhtar,29,1993,0.2,83.3,22,100.0,100.0,100.0,0,0.0,0.0,0.0,0,0,0,0,0
675,Kevin Trapp,GER,GK,Eint Frankfurt,32,1990,8.0,64.3,2491,100.0,95.3,33.6,0,0.0,0.0,0.0,0,2,0,0,0
676,Francisco Trincão,POR,"MF,FW",Sporting CP,22,1999,4.3,75.8,257,82.7,75.9,71.4,0,0.4,0.1,-0.4,2,6,1,0,12
677,Anatolii Trubin,UKR,GK,Shakhtar,20,2001,6.0,76.9,3301,100.0,98.1,42.4,0,0.0,0.0,0.0,0,0,0,0,0
678,Kostas Tsimikas,GRE,DF,Liverpool,26,1996,3.8,71.1,1133,83.3,73.6,58.3,2,1.0,1.1,1.0,11,6,2,1,14
679,David Turnbull,SCO,MF,Celtic,23,1999,1.1,80.7,174,92.7,86.7,0.0,0,0.0,0.0,0.0,0,9,0,0,10
680,Tuta,BRA,DF,Eint Frankfurt,23,1999,6.7,79.9,2006,87.7,86.0,44.7,0,0.0,0.1,0.0,1,20,1,0,24
681,Marián Tvrdoň,SVK,GK,Viktoria Plzeň,27,1994,1.0,62.0,1109,0.0,93.3,48.6,0,0.0,0.0,0.0,0,2,0,0,0
682,Manuel Ugarte Ribeiro,URU,MF,Sporting CP,21,2001,5.2,84.5,621,84.2,93.5,66.7,0,0.0,0.0,0.0,1,6,0,0,10
683,Andreas Ulmer,AUT,DF,RB Salzburg,36,1985,4.2,65.8,1041,80.6,71.8,27.6,0,0.2,0.2,-0.2,3,10,5,3,11
684,Sven Ulreich,GER,GK,Bayern Munich,33,1988,3.0,87.9,1318,100.0,98.4,53.6,0,0.0,0.0,0.0,0,0,0,0,0
685,Cengiz Ünder,TUR,MF,Marseille,25,1997,1.9,82.5,374,93.2,72.4,82.4,0,1.0,0.7,-1.0,6,6,5,2,7
686,Dayot Upamecano,FRA,DF,Bayern Munich,23,1998,7.9,90.9,4182,93.8,93.4,84.0,0,0.1,0.1,-0.1,2,48,0,0,36
687,Mateus Uribe,COL,MF,Porto,31,1991,6.8,81.1,1504,89.0,84.0,63.2,0,0.5,0.3,-0.5,8,23,3,1,33
688,Enrique Valiente,ESP,DF,Sevilla,20,2002,2.0,81.0,852,90.5,88.4,40.9,0,0.3,0.0,-0.3,1,11,0,0,10
689,Jesús Vallejo,ESP,DF,Real Madrid,25,1997,0.2,94.1,101,100.0,100.0,100.0,0,0.0,0.0,0.0,0,1,0,0,1
690,Federico Valverde,URU,"MF,FW",Real Madrid,24,1998,10.7,87.0,1770,93.3,82.6,85.1,3,2.9,2.4,0.1,19,50,20,3,58
691,Virgil van Dijk,NED,DF,Liverpool,31,1991,8.0,86.9,3353,89.6,91.7,58.9,1,0.1,0.2,0.9,2,30,2,0,33
692,Hans Vanaken,BEL,MF,Club Brugge,29,1992,7.8,83.6,1523,87.2,84.0,83.9,0,0.8,0.5,-0.8,5,40,5,0,47
693,Denis Vavro,SVK,DF,FC Copenhagen,26,1996,4.0,83.6,833,87.2,92.2,55.2,0,0.0,0.0,0.0,0,6,0,0,2
694,Lucas Vázquez,ESP,DF,Real Madrid,31,1991,2.2,91.2,430,96.3,88.5,50.0,1,0.7,1.0,0.3,4,7,7,3,9
695,Jordan Veretout,FRA,MF,Marseille,29,1993,5.4,88.1,1914,90.5,90.9,75.0,1,0.5,0.6,0.5,8,55,3,2,54
696,Lucas Veríssimo,BRA,DF,Benfica,27,1995,0.1,75.0,20,0.0,100.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0
697,Gabriel Veron,BRA,"MF,FW",Porto,19,2002,0.5,64.7,70,85.7,60.0,100.0,0,0.0,0.0,0.0,0,1,0,0,1
698,Marco Verratti,ITA,MF,Paris S-G,29,1992,6.9,92.6,2894,95.7,92.4,86.5,1,0.4,0.8,0.6,4,44,11,0,45
699,Vitinha,POR,MF,Paris S-G,22,2000,6.5,91.3,1393,93.4,95.2,80.6,0,0.2,0.4,-0.2,3,34,3,0,35
700,Odisseas Vlachodimos,GRE,GK,Benfica,28,1994,10.0,74.2,3375,100.0,100.0,46.8,0,0.0,0.0,0.0,0,5,0,0,0
701,Dušan Vlahović,SRB,FW,Juventus,22,2000,4.6,71.4,89,73.0,82.4,60.0,1,0.9,0.1,0.1,1,3,1,0,5
702,Adam Vlkanova,CZE,MF,Viktoria Plzeň,27,1994,5.1,73.3,409,87.5,74.5,42.9,1,0.6,0.5,0.4,7,9,5,2,12
703,Stefan de Vrij,NED,DF,Inter,30,1992,3.3,83.1,254,95.5,84.8,42.9,0,0.0,0.0,0.0,0,1,0,0,0
704,Kyle Walker,ENG,"DF,FW",Manchester City,32,1990,3.1,79.6,801,84.1,85.9,60.0,0,0.1,0.1,-0.1,1,15,1,0,11
705,Paul Wanner,GER,"DF,FW",Bayern Munich,16,2005,0.4,85.7,29,100.0,71.4,50.0,0,0.3,0.1,-0.3,1,0,0,0,0
706,Stephen Welsh,SCO,DF,Celtic,22,2000,1.0,94.8,439,92.9,100.0,81.8,0,0.0,0.0,0.0,0,2,1,0,7
707,Wendell,BRA,DF,Porto,29,1993,1.6,83.0,473,96.0,84.6,50.0,0,0.5,0.2,-0.5,4,3,1,1,8
708,Timo Werner,GER,FW,RB Leipzig,26,1996,5.6,77.4,571,84.5,79.7,57.1,2,0.7,0.9,1.3,7,12,8,0,23
709,Owen Wijndal,NED,DF,Ajax,22,1999,0.8,85.7,212,88.9,78.9,0.0,1,0.2,0.3,0.8,2,2,3,1,6
710,Josh Wilson-Esbrand,ENG,DF,Manchester City,19,2002,0.5,85.7,65,90.5,81.8,66.7,0,0.0,0.0,0.0,0,0,2,0,2
711,Axel Witsel,BEL,"DF,MF",Atlético Madrid,33,1989,5.1,93.6,1752,94.4,96.2,78.9,1,0.4,0.1,0.6,3,18,1,0,14
712,Maximilian Wöber,AUT,DF,RB Salzburg,24,1998,1.8,44.4,326,56.0,44.8,30.8,1,0.7,0.4,0.3,3,3,2,1,4
713,Marius Wolf,GER,DF,Dortmund,27,1995,2.0,74.5,294,85.5,75.9,33.3,0,0.1,0.2,-0.1,1,3,2,1,3
714,Scott Wright,SCO,"FW,MF",Rangers,24,1997,1.5,67.6,69,81.0,70.0,0.0,0,0.2,0.0,-0.2,1,1,0,0,3
715,Roman Yaremchuk,UKR,FW,Club Brugge,26,1995,1.2,74.4,65,80.0,75.0,100.0,0,0.0,0.0,0.0,1,3,0,0,3
716,Rıdvan Yılmaz,TUR,DF,Rangers,21,2001,1.0,78.0,287,89.7,75.0,33.3,0,0.0,0.1,0.0,1,2,1,1,5
717,Warren Zaire-Emery,FRA,MF,Paris S-G,16,2006,0.9,78.9,55,90.5,61.5,0.0,0,0.1,0.6,-0.1,2,2,1,0,3
718,Denis Zakaria,SUI,MF,Chelsea,25,1996,0.8,95.5,144,100.0,92.9,85.7,0,0.1,0.0,-0.1,1,6,0,0,3
719,Andre-Frank Zambo Anguissa,CMR,MF,Napoli,26,1995,7.2,84.9,1271,90.8,88.8,68.0,3,1.3,1.2,1.7,10,31,5,0,30
720,Alessandro Zanoli,ITA,DF,Napoli,21,2000,0.1,75.0,32,100.0,80.0,0.0,0,0.1,0.1,-0.1,1,0,2,1,1
721,Zeca,GRE,MF,FC Copenhagen,33,1988,1.8,91.5,311,97.4,91.7,100.0,0,0.0,0.0,0.0,0,5,0,0,2
722,Alessio Zerbin,ITA,FW,Napoli,23,1999,0.6,73.5,65,94.1,62.5,0.0,0,0.2,0.1,-0.2,1,2,2,0,4
723,Piotr Zieliński,POL,MF,Napoli,28,1994,6.9,82.5,1050,93.0,80.2,48.7,2,2.1,2.0,-0.1,23,16,9,1,36
724,Hakim Ziyech,MAR,"FW,MF",Chelsea,29,1993,1.6,67.0,246,84.2,67.9,30.8,0,0.4,0.2,-0.4,2,4,4,0,13
725,Oleksandr Zubkov,UKR,"FW,MF",Shakhtar,25,1996,4.1,77.9,348,77.8,83.9,72.7,0,0.1,0.3,-0.1,2,5,2,0,10
726,Neven Đurasek,CRO,MF,Shakhtar,23,1998,1.0,91.7,95,90.9,91.7,100.0,0,0.0,0.0,0.0,0,3,0,0,3
